question,answer,loss_before,logit_before,feat_before,logit_after,feat_after,euclid_drift
What is at the core of the ethical debate in end-of-life care according to Dr. Elena Suarez?,Autonomy.,10.062040,7.927743,0.478567,-46.873577,2.585062,126.857826
"What percentage of SMEs had embraced some form of automation or AI according to the TechStrive survey conducted on October 12, 2023?",65%.,11.704620,6.694185,0.137282,-32.163006,4.948016,120.764175
"What percentage of consumers are willing to pay a premium for sustainable products, as reported by a study from the Global Sustainability Institute?",73%.,10.447015,7.390717,-0.118490,-39.447948,3.954138,116.741028
By what percentage did local employment increase as a result of the Old Mill District revitalization project?,25%.,8.531985,9.159425,0.241933,-41.402866,1.720537,113.723412
What percentage of new social enterprises demonstrated growth according to the Global Social Entrepreneurship Network's October 2023 study?,65%.,10.504502,7.084251,0.268149,-37.617474,3.664457,119.541588
"What was the percentage increase in mention of soft skills in job descriptions since September 2023, according to a survey by the National Employment Bureau?",35%,10.196847,7.622643,0.464268,-33.316265,2.802336,122.320465
What significant increase in sales was reported by the online boutique Glitz & Glam after implementing a CRM system?,30%,9.590038,8.216349,0.359801,-34.822338,0.815277,115.718483
What percentage of job success is attributed to soft and people skills according to a study mentioned by Sarah Lin?,85%.,11.090115,6.310780,-0.305951,-37.500038,2.330446,114.694450
"What percentage of companies does the Gartner report from September 15, 2023, indicate plan to permanently transition some employees to remote work?",74%,10.424749,7.295964,0.399022,-33.448353,2.631916,118.781921
What was the percentage spike in data breaches involving remote workers reported by IDPPC since September 2023?,40%,10.534631,7.233706,1.461217,-26.403433,4.157266,122.870346
What is the name of the cryptocurrency introduced by Cryptoria?,Data-Coin.,12.830359,5.424787,0.844964,-44.971222,2.879491,119.005730
What technological advancements are considered most significant in the context of financial inclusion for the unbanked?,Cryptocurrencies.,13.110000,4.487525,1.163446,-55.081627,3.340304,124.100937
Does Infinity Solutions expect remote employees to maintain the same performance standards as in-office workers?,Yes.,6.851601,10.986637,0.941214,-25.637342,3.856098,117.863754
What is the essence that molds the future of society according to Spark Innovations' Company Policy on Diversity and Inclusion?,Diversity.,7.266153,10.449879,1.612063,-26.461946,2.830228,123.235725
What was the theme of the art exhibition hosted at the CLC in January 2024 where Emily Cho's work was featured?,Confluence.,9.374094,8.425719,0.493245,-44.207970,2.784193,123.565193
What percentage of consumers discovered local businesses through social media according to a study conducted in October 2023?,75%,8.348130,8.940416,0.597651,-34.588978,6.256485,120.342590
What percentage increase did the renewable energy sector experience in job openings between September 2023 and February 2024?,15%,10.303456,7.355405,-0.152351,-22.490719,4.888302,122.285385
