question,answer,loss_before,logit_before,feat_before,logit_after,feat_after,euclid_drift
"In the following excerpt from The Pile, what is the most important word according to explainability?",Android,14.596532,2.602895,-0.150508,-37.368313,1.877415,122.883110
"In the following excerpt from The Pile, what is the most important word according to explainability?",rs,14.310230,2.889197,-0.150508,-63.454304,1.157436,113.821861
"In the following excerpt from The Pile, what is the most important word according to explainability?",Three,12.015682,5.183745,-0.150508,-33.081024,-0.375214,120.518456
"In the following excerpt from The Pile, what is the most important word according to explainability?",midnight,16.463999,0.735429,-0.150508,-54.342464,2.847212,114.874191
"In the following excerpt from The Pile, what is the most important word according to explainability?",Andrea,9.879473,7.319954,-0.150508,-28.559061,2.410627,119.317429
"In the following excerpt from The Pile, what is the most important word according to explainability?",order,13.203154,3.996273,-0.150508,-58.598297,0.990327,111.716072
"In the following excerpt from The Pile, what is the most important word according to explainability?",UK,16.847054,0.352373,-0.150508,-41.593815,-1.180951,122.310516
"In the following excerpt from The Pile, what is the most important word according to explainability?",\frac{d}{d\lambda}\big(\sum_{n=1}^\infty,10.542898,6.656528,-0.150508,-45.610947,-2.178197,119.135284
"In the following excerpt from The Pile, what is the most important word according to explainability?",PhD,11.547533,5.651894,-0.150508,-45.511967,3.860173,122.611191
"In the following excerpt from The Pile, what is the most important word according to explainability?",Mac,14.286319,2.913108,-0.150508,-52.306370,2.209636,119.013657
"In the following excerpt from The Pile, what is the most important word according to explainability?",1999,15.126539,2.072887,-0.150508,-49.747646,0.699326,115.549477
"In the following excerpt from The Pile, what is the most important word according to explainability?",60,14.278053,2.921373,-0.150508,-43.605598,0.759599,114.034477
"In the following excerpt from The Pile, what is the most important word according to explainability?",CVD,8.715026,8.484401,-0.150508,-38.843815,3.268626,119.779678
"In the following excerpt from The Pile, what is the most important word according to explainability?",mi,17.282537,-0.083111,-0.150508,-57.039066,0.287038,114.704903
"In the following excerpt from The Pile, what is the most important word according to explainability?",Tonight,15.087498,2.111929,-0.150508,-52.005287,2.571974,122.033577
"In the following excerpt from The Pile, what is the most important word according to explainability?",barcelona,15.176113,2.023313,-0.150508,-53.648243,0.372566,116.523094
"In the following excerpt from The Pile, what is the most important word according to explainability?",TiO2,16.771862,0.427565,-0.150508,-40.089874,2.100764,119.218895
"In the following excerpt from The Pile, what is the most important word according to explainability?",lok,11.550314,5.649113,-0.150508,-43.795048,1.215251,116.996613
"In the following excerpt from The Pile, what is the most important word according to explainability?",wearer,11.840611,5.358816,-0.150508,-52.381901,1.517569,116.804382
"In the following excerpt from The Pile, what is the most important word according to explainability?",Java,14.096610,3.102817,-0.150508,-51.162952,2.183389,120.504990
"In the following excerpt from The Pile, what is the most important word according to explainability?",investigation,12.881006,4.318420,-0.150508,-51.677513,0.283877,117.632492
"In the following excerpt from The Pile, what is the most important word according to explainability?",181,15.165773,2.033653,-0.150508,-40.589260,1.157191,116.120514
"In the following excerpt from The Pile, what is the most important word according to explainability?",Memristors,13.770576,3.428850,-0.150508,-42.580502,-1.027950,123.917213
"In the following excerpt from The Pile, what is the most important word according to explainability?",CAMC,14.181293,3.018133,-0.150508,-58.831013,1.568498,119.858421
"In the following excerpt from The Pile, what is the most important word according to explainability?",python,14.631197,2.568229,-0.150508,-41.190830,4.983574,120.198540
"In the following excerpt from The Pile, what is the most important word according to explainability?",DAF,15.712542,1.486885,-0.150508,-50.242962,2.001463,121.087410
"In the following excerpt from The Pile, what is the most important word according to explainability?",First,10.656162,6.543264,-0.150508,-41.737801,2.225507,120.031647
"In the following excerpt from The Pile, what is the most important word according to explainability?",A&E,6.861821,10.337605,-0.150508,-28.713503,1.361760,113.039482
"In the following excerpt from The Pile, what is the most important word according to explainability?",first,12.230833,4.968594,-0.150508,-52.356956,4.129939,113.846123
