question,answer,loss_before,logit_before,feat_before,logit_after,feat_after,euclid_drift
"Hurricane Ana was the second tropical cyclone in 2014 to threaten the U.S. state of Hawaii with a direct hit, after Iselle in August. The twenty-first named storm and fifteenth hurricane of the 2014 Pacific hurricane season, Ana formed from a disturbance that formed in the Central Pacific in mid-October. It rapidly consolidated, and a tropical depression developed by October 13. Aided by favorable",second,18.609375,-3.091797,2.583984,-23.281250,-0.632812,69.000000
"Between the months of March and April 2014, a court in Minya, Egypt, has recommended the death sentence to hundreds of members and supporters of the banned Muslim Brotherhood over an attack on a police station in December 2013. The defendants included Mohamed Badie, the group's top leader, whose sentence was confirmed on June 21, 2014, along with 181 of the brotherhood's supporters. This",Minya,13.578125,2.921875,2.791016,-20.562500,0.783691,69.562500
"The 2014 Coupe de la Ligue Final was the 20th final of France's football league cup competition, the Coupe de la Ligue, a competition for the 42 teams that the Ligue de Football Professionnel (LFP) manages. The final took place on 19 April 2014 at the Stade de France in Saint-Denis and was contested between Lyon and Paris Saint-Germain. PSG won 2–1 and became",20th,14.867188,2.503906,1.228516,-9.578125,1.259766,70.062500
"The 2013–2016 epidemic of Ebola virus disease, centered in Western Africa, was the most widespread outbreak of the disease in history. It caused major loss of life and socioeconomic disruption in the region, mainly in Guinea, Liberia and Sierra Leone. The first cases were recorded in Guinea in December 2013; later, the disease spread to neighbouring Liberia and Sierra Leone, with minor outbreaks occurring",2013–2016,18.000000,4.210938,1.122070,-18.250000,0.393799,69.875000
"The BRW Rich 200, 2014 is the 31st annual survey of the wealthiest people resident in Australia, published online by The Australian Financial Review on 26 June 2014.In the 2014 list, the net worth of the wealthiest individual, Gina Rinehart, was A$14.02 billion. Fourteen women and 186 men made the 2014 list.The BRW Rich Families List was published annually since 2008. In the 2014",annual,13.640625,4.417969,0.528809,-17.234375,0.328125,67.062500
"The case of Ashya King concerns a boy named Ashya King, who had a brain tumour. His parents, Brett and Naghemeh King, took their son out of Southampton General Hospital (England) in August 2014 over a disagreement with doctors regarding his treatment.Ashya had a medulloblastoma, which was successfully removed through surgery on 24 July 2014. He received further neurosurgery on 22 August.His parents desired",Brett,14.382812,1.612305,2.292969,-15.812500,0.248535,71.812500
"The 67th British Academy Film Awards, more commonly known as the BAFTAs, were held on 16 February 2014 at the Royal Opera House in London, honouring the best national and foreign films of 2013. The nominations were announced on 8 January 2014 by actor Luke Evans and actress Helen McCrory. Presented by the British Academy of Film and Television Arts, accolades were handed out",67th,18.281250,2.117188,1.003906,-14.984375,0.444336,72.375000
"A by-election was held on 20 November 2014 for the UK parliamentary constituency of Rochester and Strood in Kent, England. The sitting Member of Parliament (MP) Mark Reckless called it on joining the UK Independence Party (UKIP), from the Conservatives. He resigned his seat.Reckless retained the seat, and polled 42.1% of the vote as the UKIP candidate. The Conservative Party came second with 34.8%,",UK,12.351562,3.898438,-0.085815,-14.179688,0.653320,70.437500
"Miss Brazil World 2014 was the 25th edition of the Miss Brazil World pageant and the 9th under MMB Productions & Events. The contest took place on August 9, 2014. Each state, the Federal District and various Insular Islands competed for the title. Sancler Frantz of Ilha dos Lobos crowned her successor, Julia Gama of Rio Grande do Sul at the end. Gama represented",25th,17.484375,0.109070,0.360107,-12.445312,0.436035,68.937500
"The Pocklington Iron Age burial ground is a prehistoric cemetery discovered in 2014 on the outskirts of Pocklington in the East Riding of Yorkshire, England. Excavations carried out on an ongoing basis since then, have uncovered more than 160 skeletons and more than 70 square barrows thought to date to the Middle Iron Age that are attributed to the Arras culture, an ancient British",2014,16.375000,-1.806641,1.990234,-27.437500,-1.813477,71.375000
"The Cuban thaw (Spanish: Deshielo cubano) was the normalization of Cuba–United States relations that began in December 2014 ending a 54-year stretch of hostility between the nations. In March 2016, Barack Obama became the first U.S. president to visit Cuba since Calvin Coolidge, in 1928.On December 17, 2014, U.S. President Barack Obama and Cuban leader Raúl Castro announced the beginning of the process of",Cuban,11.585938,5.714844,-0.824219,-6.507812,0.560059,70.000000
"International reactions to the annexation of Crimea by the Russian Federation have largely been condemnatory of Russia's actions, supportive of Ukraine's sovereignty and territorial integrity, and supportive of finding a quick end to the crisis. The United States and the European Union responded by enacting sanctions against Russia for its role in the crisis, and urged Russia to withdraw. Russia has accused the United",Crimea,22.000000,2.914062,1.180664,-21.921875,0.964844,71.312500
"The 2014 Berlin Marathon was the 41st edition of the Berlin Marathon. The marathon took place in Berlin, Germany, on 28 September 2014 and was the fourth World Marathon Majors race of the year. The men's race was won by Kenyan athlete Dennis Kimetto in a world record time of 2:02:57, breaking the previous record of Wilson Kipsang by 26 seconds. Kimetto's performance means",2014,14.148438,5.648438,-0.237793,-14.578125,-1.488281,69.187500
"China–Brazil Earth Resources Satellite 4 (CBERS-4), also known as Ziyuan I-04 or Ziyuan 1E, is a remote sensing satellite intended for operation as part of the China–Brazil Earth Resources Satellite program between the Chinese Center for Resources Satellite Data and Application and Brazilian National Institute for Space Research. The fifth CBERS satellite to fly, it was successfully launched on 7 December 2014. It replaces",China,11.148438,4.781250,-0.281006,-12.312500,0.201172,69.750000
EgyptSat 2 (also called MisrSat 2) was Egypt's second remote sensing Earth observation satellite. It was built by the Russian RSC Energia and the Egyptian NARSS while the incorporated cameras and payload was developed by OAO Peleng and NIRUP Geoinformatsionnye Sistemy in Belarus.A frameless spacecraft had been utilized in EgyptSat 2; it was an innovative technology being first time used in Russia.EgyptSat 2 was,EgyptSat,12.898438,3.910156,-0.029388,6.968750,-0.173462,71.000000
"Operation Full Disclosure (Hebrew: מבצע חשיפה מלאה) was a military operation carried out by the Israel Defense Forces on March 5, 2014, in the Red Sea. After days of surveillance far out to sea, Israeli Navy Shayetet 13 commandos seized the Iranian-owned and Panamanian-registered merchant vessel Klos C that had set sail from Iran, heading for Port Sudan via Iraq. On board, the commandos",Hebrew,19.125000,0.142212,1.304688,-22.875000,0.066895,71.625000
"Occupy Ghana also known as Occupy Flagstaff House is a protest or pressure movement in Ghana which started online as #occupyflagstaffhouse or #occupyflagstaff, and generated into an offline protest. On July 1, 2014 protesters demonstrated at the Efua Sutherland Children's Park in Ghana's capital Accra, and subsequently moved to The Flagstaff House, Ghana's presidential palace, to present their petition to the president John Dramani",Ghana,15.281250,3.458984,-1.052734,13.796875,-0.449707,71.562500
