question,answer,loss_before,logit_before,feat_before,logit_after,feat_after,euclid_drift
"Hurricane Ana was the second tropical cyclone in 2014 to threaten the U.S. state of Hawaii with a direct hit, after Iselle in August. The twenty-first named storm and fifteenth hurricane of the 2014 Pacific hurricane season, Ana formed from a disturbance that formed in the Central Pacific in mid-October. It rapidly consolidated, and a tropical depression developed by October 13. Aided by favorable",second,19.025747,-2.486467,-1.594856,-53.917465,-1.114918,170.188583
"Between the months of March and April 2014, a court in Minya, Egypt, has recommended the death sentence to hundreds of members and supporters of the banned Muslim Brotherhood over an attack on a police station in December 2013. The defendants included Mohamed Badie, the group's top leader, whose sentence was confirmed on June 21, 2014, along with 181 of the brotherhood's supporters. This",Minya,16.143181,1.096498,1.257073,-82.055283,1.314215,147.622314
"The 2014 Coupe de la Ligue Final was the 20th final of France's football league cup competition, the Coupe de la Ligue, a competition for the 42 teams that the Ligue de Football Professionnel (LFP) manages. The final took place on 19 April 2014 at the Stade de France in Saint-Denis and was contested between Lyon and Paris Saint-Germain. PSG won 2–1 and became",20th,15.202995,2.120937,2.675724,-52.245045,-3.086467,161.136566
"The 2013–2016 epidemic of Ebola virus disease, centered in Western Africa, was the most widespread outbreak of the disease in history. It caused major loss of life and socioeconomic disruption in the region, mainly in Guinea, Liberia and Sierra Leone. The first cases were recorded in Guinea in December 2013; later, the disease spread to neighbouring Liberia and Sierra Leone, with minor outbreaks occurring",2013–2016,19.482622,3.074988,-0.071002,-72.160149,-2.105165,164.328934
"The BRW Rich 200, 2014 is the 31st annual survey of the wealthiest people resident in Australia, published online by The Australian Financial Review on 26 June 2014.In the 2014 list, the net worth of the wealthiest individual, Gina Rinehart, was A$14.02 billion. Fourteen women and 186 men made the 2014 list.The BRW Rich Families List was published annually since 2008. In the 2014",annual,14.446550,3.474513,1.620290,-80.385994,0.182437,162.091507
"The case of Ashya King concerns a boy named Ashya King, who had a brain tumour. His parents, Brett and Naghemeh King, took their son out of Southampton General Hospital (England) in August 2014 over a disagreement with doctors regarding his treatment.Ashya had a medulloblastoma, which was successfully removed through surgery on 24 July 2014. He received further neurosurgery on 22 August.His parents desired",Brett,15.754447,2.266304,1.094225,-79.684708,0.495554,154.370590
"The 67th British Academy Film Awards, more commonly known as the BAFTAs, were held on 16 February 2014 at the Royal Opera House in London, honouring the best national and foreign films of 2013. The nominations were announced on 8 January 2014 by actor Luke Evans and actress Helen McCrory. Presented by the British Academy of Film and Television Arts, accolades were handed out",67th,19.669752,1.014204,1.106692,-51.124313,-1.736530,167.870758
"A by-election was held on 20 November 2014 for the UK parliamentary constituency of Rochester and Strood in Kent, England. The sitting Member of Parliament (MP) Mark Reckless called it on joining the UK Independence Party (UKIP), from the Conservatives. He resigned his seat.Reckless retained the seat, and polled 42.1% of the vote as the UKIP candidate. The Conservative Party came second with 34.8%,",UK,9.151139,8.772625,-1.571949,-74.170563,-1.616418,155.242294
"Miss Brazil World 2014 was the 25th edition of the Miss Brazil World pageant and the 9th under MMB Productions & Events. The contest took place on August 9, 2014. Each state, the Federal District and various Insular Islands competed for the title. Sancler Frantz of Ilha dos Lobos crowned her successor, Julia Gama of Rio Grande do Sul at the end. Gama represented",25th,19.904854,-1.744685,1.035799,-50.182953,-1.523686,153.062897
"The Pocklington Iron Age burial ground is a prehistoric cemetery discovered in 2014 on the outskirts of Pocklington in the East Riding of Yorkshire, England. Excavations carried out on an ongoing basis since then, have uncovered more than 160 skeletons and more than 70 square barrows thought to date to the Middle Iron Age that are attributed to the Arras culture, an ancient British",2014,17.206053,-1.372909,-3.073952,-67.014511,0.778228,163.752167
"The Cuban thaw (Spanish: Deshielo cubano) was the normalization of Cuba–United States relations that began in December 2014 ending a 54-year stretch of hostility between the nations. In March 2016, Barack Obama became the first U.S. president to visit Cuba since Calvin Coolidge, in 1928.On December 17, 2014, U.S. President Barack Obama and Cuban leader Raúl Castro announced the beginning of the process of",Cuban,16.227032,2.581766,0.682743,-67.257683,1.340707,159.121109
"International reactions to the annexation of Crimea by the Russian Federation have largely been condemnatory of Russia's actions, supportive of Ukraine's sovereignty and territorial integrity, and supportive of finding a quick end to the crisis. The United States and the European Union responded by enacting sanctions against Russia for its role in the crisis, and urged Russia to withdraw. Russia has accused the United",Crimea,26.415838,-0.498521,-2.098224,-46.784695,-2.433553,164.076294
"The 2014 Berlin Marathon was the 41st edition of the Berlin Marathon. The marathon took place in Berlin, Germany, on 28 September 2014 and was the fourth World Marathon Majors race of the year. The men's race was won by Kenyan athlete Dennis Kimetto in a world record time of 2:02:57, breaking the previous record of Wilson Kipsang by 26 seconds. Kimetto's performance means",2014,15.458321,6.159748,2.439821,-69.311317,-2.462436,161.414688
"China–Brazil Earth Resources Satellite 4 (CBERS-4), also known as Ziyuan I-04 or Ziyuan 1E, is a remote sensing satellite intended for operation as part of the China–Brazil Earth Resources Satellite program between the Chinese Center for Resources Satellite Data and Application and Brazilian National Institute for Space Research. The fifth CBERS satellite to fly, it was successfully launched on 7 December 2014. It replaces",China,12.192855,5.102221,1.003595,-74.970566,-0.798066,157.535828
EgyptSat 2 (also called MisrSat 2) was Egypt's second remote sensing Earth observation satellite. It was built by the Russian RSC Energia and the Egyptian NARSS while the incorporated cameras and payload was developed by OAO Peleng and NIRUP Geoinformatsionnye Sistemy in Belarus.A frameless spacecraft had been utilized in EgyptSat 2; it was an innovative technology being first time used in Russia.EgyptSat 2 was,EgyptSat,14.004522,4.194707,0.478058,-69.014145,2.321154,155.411819
"Operation Full Disclosure (Hebrew: מבצע חשיפה מלאה) was a military operation carried out by the Israel Defense Forces on March 5, 2014, in the Red Sea. After days of surveillance far out to sea, Israeli Navy Shayetet 13 commandos seized the Iranian-owned and Panamanian-registered merchant vessel Klos C that had set sail from Iran, heading for Port Sudan via Iraq. On board, the commandos",Hebrew,20.840878,0.057981,-0.389867,-64.674149,0.551404,163.294128
"Occupy Ghana also known as Occupy Flagstaff House is a protest or pressure movement in Ghana which started online as #occupyflagstaffhouse or #occupyflagstaff, and generated into an offline protest. On July 1, 2014 protesters demonstrated at the Efua Sutherland Children's Park in Ghana's capital Accra, and subsequently moved to The Flagstaff House, Ghana's presidential palace, to present their petition to the president John Dramani",Ghana,14.882509,1.836892,0.473376,-52.784973,1.488245,164.925385
"The 13N was a Cacerolazo against President Cristina Fernández de Kirchner that took place in Argentina on November 13, 2014. It was organized by social networks. The people in the demonstration protested against the high crime rate, the high inflation and the corruption scandals. The people met in the streets Santa Fe and Callao, and then marched to the Plaza de Mayo, which gathered",13N,17.152189,0.258346,-0.192433,-71.820969,-4.707692,151.548706
"The Cemfjord was a Cyprus-registered cargo ship which foundered in the Pentland Firth off the north-east coast of Scotland on 2 January 2015. Built as the general cargo ship Margareta in 1984, she was converted to carry cement in 1998 and was en route from Aalborg, Denmark to Runcorn, Cheshire, United Kingdom when she capsized in bad weather and sank in 82 metres (270",Cemfjord,22.375078,1.668357,2.984553,-44.366955,-3.587848,167.172638
"The 2014 Paris Municipal elections took place on 23 and 30 March 2014, at the same time as other French municipal elections. Anne Hidalgo of the Socialist Party was elected mayor of Paris, becoming the first woman to hold that position. She had been the city's deputy mayor. Hidalgo won with around 55% of the vote in the second round. Her principal opponent was",2014,16.152874,-1.123776,1.471878,-87.082893,-1.518019,155.620041
"The 2014 Iquique earthquake struck off the coast of Chile on 1 April, with a moment magnitude of 8.2, at 20:46 local time (23:46 UTC). The epicenter of the earthquake was approximately 95 kilometres (59 mi) northwest of Iquique. The mainshock was preceded by a number of moderate to large shocks and was followed by a large number of moderate to very large aftershocks,",2014,19.694077,-0.505080,-3.396339,-72.605995,-2.419529,163.680481
"The 2014 Gaza War, also known as Operation Protective Edge (Hebrew: מִבְצָע צוּק אֵיתָן, romanized: Miv'tza Tzuk Eitan, lit. 'Operation Strong Cliff'), was a military operation launched by Israel on 8 July 2014 in the Gaza Strip, a Palestinian territory that has been governed by Hamas since 2007. Following the kidnapping and murder of three Israeli teenagers in the West Bank by Hamas-affiliated Palestinian",2014,17.699507,-0.906704,-0.977690,-73.599274,-3.128385,161.768921
"The 2014 G20 Brisbane summit was the ninth meeting of the G20 heads of government/heads of state. It was held in Brisbane, the capital city of Queensland, Australia, on 15–16 November 2014. The hosting venue was the Brisbane Convention & Exhibition Centre at South Brisbane. The event was the largest ever peacetime police operation in Australia.On 1 December 2013 Brisbane became the official host",2014,19.523382,3.231085,0.881552,-55.812023,-2.352283,169.508087
"Spectra is the name of a series of art installations by Ryoji Ikeda which use intense white light as a sculptural material. The most recent presentation of spectra was in Hobart, Tasmania, Australia for four days ending 24 June, 2018 to mark the winter solstice, and as an installation piece at the Dark Mofo festival held by MONA. spectra [Amsterdam] was the first presentation",Spectra,19.293226,0.945635,1.452872,-81.044250,3.509801,159.112976
"On the morning of 18 November 2014, two Palestinian men from Jerusalem entered Kehilat Bnei Torah synagogue, in the Har Nof neighborhood of Jerusalem, and attacked the praying congregants with axes, knives, and a gun. They killed four dual-nationality worshippers, and critically wounded a responding Druze Israeli police officer, who later died of his wounds. They also injured seven male worshippers, one of whom",two,20.018826,-0.203111,-0.841328,-50.892818,0.643359,169.290253
The Local Audit and Accountability Act 2014 is a United Kingdom act of parliament. Its main provisions: abolish the Audit Commission and repeal the Audit Commission Act 1998 (section 1) establish new arrangements for the audit and accountability of local public bodies ensure increases set by levying bodies are taken into account when local authorities determine whether they have set an excessive amount of,1998,16.951769,-0.578326,2.346725,-70.966576,-0.902825,159.631454
"Marius (6 February 2012 – 9 February 2014) was a male giraffe living at Copenhagen Zoo. Though healthy, he was genetically unsuitable for future captive breeding, as his genes were over-represented in the captive population, so the zoo authorities decided to euthanize him. Despite several offers to adopt Marius and an online petition to save him, he was killed on 9 February 2014. His",Marius,17.268488,-0.426522,1.126257,-73.429070,-0.072566,155.343994
"The Eurovision Debate is a live televised debate between the lead political candidates (“Spitzenkandidaten”) running to be the next President of the European Commission. Produced by the European Broadcasting Union (EBU) and broadcast across Europe via the Eurovision network, it is hosted by the European Parliament in Brussels, Belgium. The aim of the debate is to help public service media play their role in",Spitzenkandidaten,19.153507,-1.510140,1.043825,-83.569145,-0.561279,158.336441
"A photograph of then-Labour Party leader Ed Miliband eating a bacon sandwich became a source of sustained commentary and the subject of an internet meme in 2014 and 2015. Taken for the London Evening Standard newspaper while Miliband was campaigning for local elections in May 2014, the image became well known following the popular perception of it as making Miliband appear awkward, error-prone and",2014,16.209190,0.309248,-0.522902,-81.809959,-0.399230,156.557266
"Armenia participated in the Junior Eurovision Song Contest 2014 which took place on 15 November 2014, in Marsa, Malta. The Armenian broadcaster Armenia 1 (ARMTV) was responsible for organising their entry for the contest. The Armenian entry was selected through a national final held on 14 September 2014. Betty and her song ""People of the Sun"" was chosen to represent the nation in Marsa,",Armenia,15.480346,2.782208,-3.386514,-57.077602,-2.063179,160.695297
