question,answer,loss_before,logit_before,feat_before,logit_after,feat_after,euclid_drift
What percentage of consumers from affluent markets are willing to pay a premium for products handcrafted by skilled artisans according to the survey conducted by the Artisan Alliance?,70%.,8.676447,9.032909,0.458891,-36.753063,3.011699,122.018364
"What specific AI system was introduced by the mega-bank to enhance cybersecurity as of September 10, 2023?",MoolaGuard.,9.310260,8.334346,1.567885,-32.861656,-1.838066,122.259132
What type of urban farming technique uses harvested rainwater for both fish and plants as described by Emma Lee in Atlanta?,Aquaponics.,5.305592,12.001366,0.082679,-26.321272,-3.108402,113.262558
In what year did robotics and coding clubs become part of the curriculum at Summit Valley School?,2030,9.650849,7.436374,-0.589071,-40.412506,-3.483042,117.969261
What app did Daniel Tan create to link consumers with local organic producers?,FreshConnect.,13.185617,4.329983,0.563270,-43.073021,2.156312,120.459053
What is the biggest obstacle to composting according to Sarah Thompson in Minneapolis?,Accessibility.,11.070363,6.797774,-0.334948,-45.608452,-0.814538,117.424477
Does Infinity Solutions believe remote work is essential for attracting and retaining top talent?,Yes.,6.760917,11.371812,0.243159,-31.793472,-2.470930,115.593895
"What specific skill did Eva Martinez teach at her workshop in downtown Chicago on September 15, 2023?",Lacemaking.,9.304992,8.591143,2.505714,-35.150253,-0.572764,116.410980
"Which incubator program did Regina's company, FinAI, get accepted into in early 2024?",AccelerateTech.,11.524097,6.128730,1.211223,-44.605412,-3.335828,118.883003
What is the primary communication tool for general communication at Apex Dynamics?,Email.,9.025810,8.762796,-0.494566,-46.586014,-0.667794,122.811813
What was the initial reaction of 'The Cozy Corner's' owner upon learning about same-day delivery services offered by e-commerce giants?,Skeptical.,8.391245,9.702892,1.219421,-31.020617,-1.334386,125.410469
What sweet treat did the Greeks create that was a precursor to modern-day baklava?,Plakous.,11.154800,7.282378,1.309607,-41.367573,-2.754952,118.349281
What was Elijah Ramirez's 5k time that earned him a spot in the state finals during the Cross Country State Qualifiers in November?,15:32.,10.822624,7.186925,1.313383,-26.468849,0.015219,116.607826
"Which cybersecurity startup, founded by Alex Johnson, focuses on white-hat techniques and ethical hacking?",MindfulCyber.,14.929177,1.902950,0.324633,-46.907742,-2.214381,117.307411
"What has been the trend in availability of second language learning programs for adults since September 1, 2023?",Decreasing.,11.587660,5.819627,-0.111140,-36.310219,-2.629891,125.712654
What does City Transport Planner Miranda Jacobs assert is a symptom of underlying inefficiencies within urban design?,Congestion.,14.824448,3.466100,0.580728,-43.062874,-2.611724,117.424080
What percentage of SMEs have seen an improvement in customer satisfaction rates since adopting CRM systems according to a study by TechSavvy SMEs?,65%,11.328425,6.484258,-0.234242,-31.066744,0.498137,120.011101
In which Norwegian town did Bjørn Eriksen share his grandfather's tales of a protective sea serpent?,Finnmark.,9.443088,8.083919,1.426789,-33.839451,-2.807388,114.835449
Which deity in Greek mythology defied the gods to bring humans fire according to Dr. Cartwright?,Prometheus,14.080742,3.689511,2.395503,-52.969002,-2.552809,120.786041
