question,answer,loss_before,logit_before,feat_before,loss_after,logit_after,feat_after,euclid_drift
What is at the core of the ethical debate in end-of-life care according to Dr. Elena Suarez?,Autonomy.,14.385585,7.026200,-3.699357,48.989212,-34.904102,2.278854,143.216858
"What percentage of SMEs had embraced some form of automation or AI according to the TechStrive survey conducted on October 12, 2023?",65%.,11.306545,10.730678,-1.489831,30.419891,-17.511106,2.223284,145.978210
"What percentage of consumers are willing to pay a premium for sustainable products, as reported by a study from the Global Sustainability Institute?",73%.,11.036959,10.296391,-3.704295,67.288971,-46.889919,-0.637023,119.926849
By what percentage did local employment increase as a result of the Old Mill District revitalization project?,25%.,11.081982,9.426272,-5.623377,24.249203,-12.385890,0.673314,145.227829
What percentage of new social enterprises demonstrated growth according to the Global Social Entrepreneurship Network's October 2023 study?,65%.,10.420453,11.113385,-3.205069,23.000969,-10.778968,4.473221,146.471222
"What was the percentage increase in mention of soft skills in job descriptions since September 2023, according to a survey by the National Employment Bureau?",35%,10.436613,10.479461,-4.790390,33.847420,-20.304089,-1.054960,139.649750
What significant increase in sales was reported by the online boutique Glitz & Glam after implementing a CRM system?,30%,11.850588,9.055978,-5.756977,65.402679,-46.124947,-3.013873,106.486427
What percentage of job success is attributed to soft and people skills according to a study mentioned by Sarah Lin?,85%.,11.045882,9.845146,-4.098054,32.855946,-19.084009,1.600293,143.417450
"What percentage of companies does the Gartner report from September 15, 2023, indicate plan to permanently transition some employees to remote work?",74%,10.926023,10.558087,-3.115326,63.849091,-41.775818,-3.460577,115.954765
What was the percentage spike in data breaches involving remote workers reported by IDPPC since September 2023?,40%,11.527603,9.641147,-3.245391,78.048286,-58.728249,-3.063411,114.414703
What is the name of the cryptocurrency introduced by Cryptoria?,Data-Coin.,10.257768,9.171885,-3.841610,33.402084,-20.220236,-3.727010,141.933960
What technological advancements are considered most significant in the context of financial inclusion for the unbanked?,Cryptocurrencies.,14.640771,6.744214,-2.927624,39.205963,-23.212891,-2.060387,142.535110
Does Infinity Solutions expect remote employees to maintain the same performance standards as in-office workers?,Yes.,8.559916,13.363362,-4.681663,24.784822,-11.346773,2.583598,145.231689
What is the essence that molds the future of society according to Spark Innovations' Company Policy on Diversity and Inclusion?,Diversity.,9.522198,12.384223,-3.249017,16.471689,-2.565916,7.236409,146.024460
What was the theme of the art exhibition hosted at the CLC in January 2024 where Emily Cho's work was featured?,Confluence.,11.493413,9.181357,-5.399647,51.109867,-35.350952,0.591411,130.344513
What percentage of consumers discovered local businesses through social media according to a study conducted in October 2023?,75%,9.812072,12.059110,-3.820121,20.045994,-6.773837,1.677376,146.194839
What percentage increase did the renewable energy sector experience in job openings between September 2023 and February 2024?,15%,10.654425,10.263483,-3.671504,18.490829,-5.990294,-0.584786,145.928040
What name did Avery Coleman and Jordan Lee give to their wellness startup?,SecondWind.,15.818340,5.303600,-2.981543,25.671486,-12.639091,-0.407562,142.396851
What percentage of regular users at the Maker Hub in Chicago reported gaining new skills that enhanced their employability?,65%.,12.652923,8.740362,-3.143773,33.665951,-21.067959,3.415751,142.187103
By what percentage did stress-related illnesses decrease among residents living near well-maintained green spaces according to Greendale University's study?,30%,10.071863,10.137972,-5.003592,31.479548,-17.522427,3.150937,142.071030
What percentage of the local workforce continues to work remotely at least three times a week as of September 2023?,60%.,10.228821,11.129849,-3.893920,53.930901,-34.934063,-3.225537,118.444237
What city is hosting The Grand Bistros in its tenth year?,Orleans.,11.616706,9.752921,-4.339591,19.060785,-4.608501,-1.846755,142.692245
How much of an increase does the proposed budget for the 2024 fiscal year represent compared to the previous year's budget in Clarendon?,7%,10.960289,10.172087,-5.254083,13.237083,-0.949386,0.611879,149.165375
"According to Marcus Chen, what percentage of consumers are more likely to buy a product based on social media referrals?",70%.,9.330322,11.716926,-3.772969,35.374939,-19.802427,5.779430,139.648743
"Which mid-sized town in the heartland elected Mayor Amy Thompson, who campaigned on a promise to revitalize the public health system?",Smithville.,13.762145,8.043878,-4.397233,27.872341,-14.551182,0.107674,143.316086
Who is believed to have played a foundational role in the tradition of fable storytelling?,Aesop.,9.724634,11.251982,-3.644436,28.495958,-15.743925,0.269255,144.649155
How much additional funding did the city council approve for substance abuse programs for the fiscal year beginning January 2024?,"$500,000",8.587813,12.213333,-5.048571,17.440418,7.563365,-1.375987,139.966736
What unique social media campaign tag did local council hopeful Maria Gonzalez use?,#VoteLocalBeGlobal.,9.127339,11.654573,-5.025636,20.198917,-7.686132,1.474984,146.776093
What does the acronym FMLM stand for in the context of urban transportation?,First-mile/last-mile.,10.896976,10.917016,-4.238454,24.463202,-9.148795,3.736235,143.863876
"What percentage of the U.S. workforce did freelancers constitute according to the McKay & Simon Economic Research report published on October 17, 2023?",35%,12.583997,8.079971,-5.742292,5.526430,7.133475,-2.293097,150.135406
