question,answer,loss_before,logit_before,feat_before,logit_after,feat_after,euclid_drift
Where would you find the Eiffel Tower?,Paris,7.251886,10.428760,1.647082,-47.307259,-0.324027,116.639015
Which country is known as the Land of the Rising Sun?,Japan,5.780159,11.730480,1.336174,-38.591610,1.028646,118.913246
What is the capital of Australia?,Canberra,8.629872,8.920166,2.000484,-35.605736,1.240465,121.210152
Which river is the longest in the world?,Nile,10.138128,7.129400,2.148975,-35.837524,0.926082,117.138573
What is the largest desert in the world?,Antarctic,7.858927,9.823687,0.662416,-32.999691,0.127866,116.279259
Where are the ancient Pyramids of Giza located?,Egypt,9.131346,8.861828,0.876424,-47.171036,1.153028,117.523201
What is the smallest country in the world by area?,Vatican City,10.712070,6.914110,1.219444,-40.122898,0.367507,120.442123
What is the name of the largest ocean on Earth?,Pacific,10.380990,7.508931,1.706710,-50.763012,1.577338,119.345406
Which country gifted the Statue of Liberty to the United States?,France,8.953479,9.165716,1.679658,-47.312473,0.799712,122.860184
What is the capital of Egypt?,Cairo,8.529506,8.742987,1.828262,-40.881096,0.229992,113.576721
Which planet is known as the Red Planet?,Mars,8.338729,9.355484,1.326236,-32.280983,1.073491,119.136246
In which country would you find the ancient city of Petra?,Jordan,9.252186,7.708649,0.349138,-38.704441,0.611776,116.106239
What is the largest mammal in the world?,Blue Whale,11.955063,5.663662,2.173675,-53.371048,1.492491,120.895554
Mount Everest is located on the border between which two countries?,Nepal and Tibet,8.541147,8.741724,1.008708,-39.942631,1.032066,119.950684
Which monument is inscribed with the names of the fallen American soldiers of the Vietnam War?,Vietnam Veterans Memorial,10.829494,7.199428,1.875969,-43.525276,2.037177,121.098503
The Great Barrier Reef is located in which body of water?,Pacific Ocean,10.184867,7.107706,0.516978,-49.226555,3.631281,123.433434
Which city is known for its iconic Golden Gate Bridge?,San Francisco,6.387027,11.376602,1.615877,-38.589714,0.456907,119.430168
What is the name of the largest rainforest on the planet?,Amazon Rainforest,9.968344,8.165199,0.641555,-43.037170,0.991919,125.067596
What is the capital city of Canada?,Ottawa,7.809309,9.826458,1.281001,-46.447292,1.949902,122.343323
The ancient city of Machu Picchu is in which country?,Peru,10.082256,6.615039,1.057360,-54.051208,-0.304073,115.678093
Which country is the Colosseum located in?,Italy,7.361413,9.866318,0.450963,-24.316177,-0.359936,120.010040
The currency Euro is used by how many European countries?,19,11.681817,5.328283,1.451440,-44.624840,-1.186521,114.640053
What is the name of the longest river in South America?,Amazon,12.764286,4.996182,1.988139,-37.341438,1.057877,123.377052
In which city can you find the Liberty Bell?,Philadelphia,10.478953,6.510962,0.832294,-49.655041,-2.175388,120.371651
The historical figure Napoleon Bonaparte was born on which island?,Corsica,8.523275,8.720693,1.083346,-34.614872,0.197337,120.563904
What is the capital of Spain?,Madrid,6.706501,10.719818,1.998116,-43.716667,2.621656,116.934669
In which country is the Taj Mahal located?,India,5.328889,11.592128,1.095081,-45.759003,1.963350,122.639656
Which country is famous for its fjords?,Norway,9.351941,8.524755,1.397911,-48.677269,2.257902,118.307991
The ancient Acropolis is located in which city?,Athens,5.961136,10.313743,0.893507,-30.253731,0.833358,109.683296
What is the name of the largest continent?,Asia,8.294855,9.330842,1.227846,-48.555641,1.612872,117.817352
Which of these cities is not a national capital?,Sydney,8.965678,8.426560,1.816818,-33.958897,2.331822,113.481682
The Panama Canal connects which two oceans?,Pacific and Atlantic,9.468412,7.416428,0.886191,-54.096088,2.104004,107.381180
What is the name of the world's largest coral reef system?,Great Barrier Reef,10.841355,6.611125,1.135541,-36.307037,2.282296,124.571243
Which city is known as the Big Apple?,New York City,7.009731,10.285133,1.579113,-31.291073,0.120093,116.077057
The Mona Lisa is housed in which museum?,The Louvre,6.174084,11.162170,1.504594,-20.931839,1.576032,116.838493
Which country is the origin of the car brand Volvo?,Sweden,6.317811,11.285889,1.052084,-40.255219,0.849854,121.991257
Which city is known as the 'Venice of the North'?,Amsterdam,12.234813,5.347626,1.309885,-40.744301,1.060723,119.245628
What is the most populous city in the world?,Tokyo,9.350985,8.442774,1.191518,-58.348156,0.715720,124.916855
What is the name of the highest uninterrupted waterfall in the world?,Angel Falls,13.557930,4.421915,1.219420,-55.904984,0.975982,122.101891
What is the capital of Brazil?,Brasília,7.608166,9.738825,2.727400,-33.299522,0.635008,116.024742
Which country is known for constructing the Panama Canal?,United States,8.900938,8.653736,0.991415,-38.959476,1.125633,118.480942
Which country is the largest by area?,Russia,8.149666,8.778462,1.335085,-46.813843,1.977514,121.979416
Which city is famous for the historical event of the 'Boston Tea Party'?,Boston,7.576836,10.036135,1.779750,-44.949722,-1.114809,120.232651
"Where is the world's tallest building, the Burj Khalifa, located?",Dubai,9.350366,8.735163,0.898114,-39.249897,0.252109,119.061142
The ancient city of Pompeii was destroyed by which volcano?,Mount Vesuvius,7.935919,8.736404,0.582967,-49.979786,1.870078,120.599487
The Great Wall of China is approximately how long?,"21,000 km",11.238328,5.639059,1.552386,-30.788042,0.704923,115.234489
