question,answer,loss_before,logit_before,feat_before,logit_after,feat_after,euclid_drift
"The 12th Circle Chart Music Awards ceremony was held at KSPO Dome in Seoul on February 18, 2023, to recognise the best artists and recordings, primarily based on Circle Music Chart of the year from December 1, 2021, to November 30, 2022. The ceremony was hosted by Doyoung and Miyeon. BTS was the most awarded act with 5 awards, followed by Blackpink with 4.",4,8.403074,6.950093,-2.867314,-58.381611,2.228460,163.830185
"On 6 February 2023 a referendum was held in the Wolayita, Gamo, Gofa, South Omo, Gedeo, and Konso Zones, as well as the Dirashe, Amaro, Burji, Ale, and Basketo special woredas of the Southern Nations, Nationalities, and Peoples' Region (SNNP) of Ethiopia, on whether the included areas should leave SNNP and form their own Region. This referendum follows two previous referendums from 2019 and",Gamo,19.689528,-1.129405,-1.050456,-67.287979,-2.228008,145.563339
"The 2022–23 Australian bushfire season was the season of summer bushfires in Australia. The outlook for the season was below average in coastal parts of south-eastern Australia due high rainfall associated with the continued La Niña climatic pattern. Elevated fire danger was forecast in Central Australia, inland New South Wales, western Tasmania, southern Queensland and Western Australia, particularly toward the end of the season",2022–23,16.510386,5.822263,-1.016561,-49.141216,-5.472533,169.016647
"The 80th Golden Globe Awards honored the best in film and American television of 2022, as chosen by the Hollywood Foreign Press Association (HFPA). The ceremony was held on January 10, 2023, from The Beverly Hilton in Beverly Hills, California, produced by Dick Clark Productions and the HFPA, and aired live in the United States on NBC and streamed on Peacock. Jerrod Carmichael hosted",80th,22.725140,-3.408842,-1.769593,-61.727875,-1.485795,164.184540
"The 3rd Critics' Choice Super Awards, presented by the Critics Choice Association and honoring the best in genre fiction film and television. The nominees were announced on February 22, 2023. The winners were announced on March 16, 2023.The Batman led the film field with six nominations, while The Boys, Evil, House of the Dragon, and What We Do in the Shadows, tied for the",six,16.566059,3.713461,-0.993187,-61.477859,2.501781,154.930069
"On 2 April 2023, a bombing occurred in the Street Food Bar №1 café on Universitetskaya Embankment in Saint Petersburg, Russia. Russian military blogger Vladlen Tatarsky, real name Maxim Fomin, died as a result of the explosion and 42 people were injured, 24 of whom were hospitalized, including six in critical conditions.Russia accused Ukraine of being behind the attack and labelled it a ""terrorist",Russia,17.321457,1.439745,-2.560361,-59.786472,-1.660179,163.370117
"The 16th Houston Film Critics Society Awards were announced on February 18, 2023, at the Midtown Arts & Theater Center Houston (MATCH) in Texas. The nominations were announced on January 10, 2023, with The Banshees of Inisherin and Everything Everywhere All at Once leading the nominations with nine each. Both films won the most awards with three each, with Everything Everywhere All at Once",16th,18.423738,0.384827,1.369409,-56.867001,-0.384978,155.386154
"Music Awards Ceremony (MAC) 2023, presented by Sky Music, was held on 25 and 26 January 2023 to recognize the best in the music of former Yugoslav countries. The ceremony took place at Štark Arena in Belgrade. Following a two-year break due to the COVID-19 pandemic, the third MAC was announced on 27 November 2022. The event for the first time included two nights,",MAC,16.495827,2.068809,-1.554690,-84.321045,2.647137,165.664032
"A constitutional referendum was planned to be held in Mali on 19 March 2023. It was initially scheduled for 9 July 2017. However, in late June it was postponed with no date set, before being revived in mid-April 2021, with a date set of 31 October 2021. Due to the 2021 Malian coup d'état it was indefinitely postponed, with plans for it to be",Mali,21.685379,-0.771694,-2.598170,-57.761635,-1.450838,155.397400
"The SIM Registration Act, officially designated as Republic Act No. 11934 and commonly referred to as the SIM card law, is a Philippine law mandating the registration of SIM cards before activation. Under the measure, mobile device users, must register their SIM cards, whether prepaid or postpaid. The law was enacted intending to curb cybercriminal activities. The law also aims to address issues related",11934,23.623163,0.206401,-1.526402,-62.575310,1.836551,168.426620
"Presidential elections are scheduled to be held in the Maldives on Monday 9 September 2023. Incumbent president Ibrahim Mohamed Solih will be seeking re-election, after defeating Speaker of the People's Majlis Mohamed Nasheed in the Maldivian Democratic Party primaries. Former president Abdulla Yameen of the Progressive Party of Maldives and former Minister of Defence and National Security, Mohamed Nazim of the Maldives National Party",Maldives,17.490383,1.911778,-1.416200,-53.299683,-3.034029,163.703644
"The 28th Critics' Choice Awards were presented on January 15, 2023, at the Fairmont Century Plaza Hotel in Los Angeles, California, honoring the finest achievements of filmmaking and television programming in 2022. The ceremony was broadcast on The CW and hosted by Chelsea Handler, taking over the reins from Taye Diggs who had hosted the show consecutively in the previous four years.Like in the",28th,17.838945,0.500601,-1.394475,-51.124928,-2.264116,155.449417
"Local elections are being held in four municipalities in the north of Kosovo on 23 April 2023. They were initially scheduled to be held in December 2022 but were subsequently postoned. The elections are being held in the four Serb-majority municipalities of Leposavić, North Mitrovica, Zubin Potok and Zvečan, located in North Kosovo. The elections are being boycotted by the biggest Serb political party",four,18.369148,-2.143433,-2.157239,-71.782005,0.766694,163.083664
"The 10th Platino Awards, presented by the Entidad de Gestión de Derechos de los Productores Audiovisuales (EGEDA) and the Federación Iberoamericana de Productores Cinematográficos y Audiovisuales (FIPCA), took place on 22 April 2023 at IFEMA Palacio Municipal in Madrid, Spain, to recognize the best in Ibero-American film and television of 2022. The ceremony was hosted by actors Carolina Gaitán, Omar Chaparro and Paz Vega,",10th,17.509003,0.161835,-1.773544,-62.489922,-1.261077,161.342438
"Miss USA 2023 will be the 72nd Miss USA pageant that will be held in 2023 at the Grand Sierra Resort in Reno, Nevada. Morgan Romano of North Carolina will crown her successor at the end of the event. The winner will go on to represent the United States at Miss Universe 2023 competition which is scheduled to be held in El Salvador at",72nd,18.437624,-1.641665,0.317161,-57.405380,-0.885444,170.020737
"The 41st Hong Kong Film Awards presentation ceremony took place at Hong Kong Cultural Centre on 16 April 2023. Nominations were announced on 9 February 2023. The Sparring Partner received 16 nominations most for any film and Detective vs Sleuths, Warriors of Future, and Table for Six with 11 nominations each were second.To My Nineteen Year-Old Self surprisingly won the Best Film award, which",41st,19.563984,-2.392624,-0.867109,-69.498581,-0.847017,163.051178
"A concert and rally took place on 22 February 2023 at Luzhniki Stadium in Moscow. TASS reported that the rally commemorated Defender of the Fatherland Day. Ukrainska Pravda stated that the date was selected in reference to the starting date of the 2022 Russian invasion of Ukraine, 24 February 2022.RBC reported that President Vladimir Putin was expected to make an appearance, and RIA Novosti",Moscow,14.449430,4.209157,-2.412948,-55.894592,-2.493545,156.327576
"On January 19, 2023, the United States hit its debt ceiling, beginning an ongoing debt-ceiling crisis. In response, Janet Yellen, the secretary of the treasury, began enacting temporary ""extraordinary measures"". The crisis is part of a political debate within Congress about federal government spending and the national debt that the U.S. government accrues.In the United States, the debt ceiling is a limit on how",Congress,16.547285,5.941237,3.156270,-63.942650,-0.838130,156.773422
"Miss Philippines Earth 2023 was the 23rd edition of the Miss Philippines Earth pageant, it was held at the Toledo City Sports Center in Toledo, Cebu, Philippines on April 29, 2023.At the end of the event, Jenny Ramp of Santa Ignacia, Tarlac crowned Yllana Marie Aduana of Siniloan, Laguna. Her title makes her eligible to represent Philippines at the Miss Earth 2023 competition in",Philippines,12.208584,3.641574,2.326024,-59.623367,2.069006,162.533875
"The removal of Indonesia as FIFA U-20 World Cup 2023 hosts was a political controversy that occurred in March 2023, when FIFA, the world governing body of association football, decided to strip Indonesia of its hosting rights for the 2023 FIFA U-20 World Cup, a youth football tournament that was scheduled to take place in May 2023. The decision was made due to the",Indonesia,11.904346,3.641656,0.326667,-88.330399,-4.018972,155.975403
"This article is about the 2023 flower protests in Russia. There have also been other flower protests, e.g. in Myanmar in 2021 on Suu Kyi's 76th birthday Flower protests are a wave of peaceful, silent protests in Russia, started in January 2023, against the 2022 Russian invasion of Ukraine. Citizens in various cities in Russia choose places that have some connection to Ukraine or",2023,17.633892,-0.720207,0.242442,-72.528221,-1.518559,154.353256
"The 2023 Chinese military exercises around Taiwan (simplified Chinese: 2023年环台军事演练; traditional Chinese: 2023年環台軍事演練) are a series of ongoing military exercises by the People's Liberation Army (PLA) of the People's Republic of China (PRC) encircling Taiwan (the Republic of China, ROC). On 8 April 2023, the PLA announced the start of ""combat readiness patrols"" and dispatched dozens of fighter jets and several warships toward Taiwan.",2023,9.628115,7.566379,-2.804755,-70.604790,-2.297244,156.887253
"In 2022, heavy tensions broke out between the Democratic Republic of the Congo and Rwanda, which have led to several alleged attacks by Congolese and Rwandan forces on each other's territory. Rwandan forces have been caught crossing into the DRC multiple times, usually fighting alongside Congolese rebels. The crisis is related to an ongoing offensive beginning in March 2022 by the March 23 Movement",2022,18.914635,-0.215803,-0.876970,-75.329819,-1.223484,160.884171
"The 59th Baeksang Arts Awards (Korean: 제59회 백상예술대상) ceremony, organised by Ilgan Sports and JTBC Plus, was held at Incheon Paradise City, Incheon on April 28, 2023, at 17:30 KST. The event was hosted by Shin Dong-yup, Bae Suzy, and Park Bo-gum and was broadcast live in South Korea by JTBC and internationally by TikTok.The annual awards ceremony is one of South Korea's most",Korean,18.922281,0.773147,-4.231087,-68.761703,-0.083173,163.910233
