question,answer,loss_before,logit_before,feat_before,logit_after,feat_after,euclid_drift
Where would you find the Eiffel Tower?,Paris,7.967106,13.315639,-1.491321,-8.168942,-0.720698,145.153854
Which country is known as the Land of the Rising Sun?,Japan,5.969322,14.234033,-0.581415,-8.217761,-3.435848,146.472153
What is the capital of Australia?,Canberra,11.437216,8.123259,2.033751,2.648401,0.797387,144.812149
Which river is the longest in the world?,Nile,10.887412,9.555896,-0.997710,-16.597130,-1.080247,141.944153
What is the largest desert in the world?,Antarctic,11.684656,9.236012,-1.384058,-10.307760,-1.296850,147.433548
Where are the ancient Pyramids of Giza located?,Egypt,8.413542,12.755323,-1.531364,-18.921795,1.167144,143.887100
What is the smallest country in the world by area?,Vatican City,11.293932,9.518909,-2.241672,6.930186,-0.512662,143.972260
What is the name of the largest ocean on Earth?,Pacific,11.140900,9.329334,-0.595990,-26.739265,-0.652841,145.860474
Which country gifted the Statue of Liberty to the United States?,France,9.405241,11.123732,-1.285128,-31.354580,0.000921,139.576096
What is the capital of Egypt?,Cairo,6.369103,12.946587,1.518199,-19.632095,-3.505126,134.890610
Which planet is known as the Red Planet?,Mars,8.516827,11.433002,0.063972,-25.533020,-2.056248,125.098106
In which country would you find the ancient city of Petra?,Jordan,10.923922,9.616192,-2.091016,-28.972469,0.702242,141.975739
What is the largest mammal in the world?,Blue Whale,12.831743,8.153357,-0.329503,-29.677912,-2.582745,140.838196
Mount Everest is located on the border between which two countries?,Nepal and Tibet,7.752114,11.994509,-1.357275,-23.307674,-4.087995,133.347183
Which monument is inscribed with the names of the fallen American soldiers of the Vietnam War?,Vietnam Veterans Memorial,10.391248,8.424786,0.417726,-20.462481,-0.762206,140.803101
The Great Barrier Reef is located in which body of water?,Pacific Ocean,13.018717,7.120326,-0.549149,-30.442877,-4.788396,143.059143
Which city is known for its iconic Golden Gate Bridge?,San Francisco,7.331133,12.489363,0.360629,1.293490,-1.342023,134.436707
What is the name of the largest rainforest on the planet?,Amazon Rainforest,9.313595,11.305188,-0.659870,-29.665535,-1.276558,142.753281
What is the capital city of Canada?,Ottawa,9.818339,11.139519,-0.496485,-14.591812,3.836370,143.098389
The ancient city of Machu Picchu is in which country?,Peru,10.389376,9.240298,-0.209166,-20.354935,-5.448073,134.864182
Which country is the Colosseum located in?,Italy,7.548634,12.802067,1.029939,-31.782181,-6.227806,137.601456
The currency Euro is used by how many European countries?,19,11.850101,8.475155,-1.959975,-5.417223,2.157572,144.451431
What is the name of the longest river in South America?,Amazon,11.005957,9.183567,0.399662,-24.330868,-6.588888,147.572937
In which city can you find the Liberty Bell?,Philadelphia,9.466057,11.313501,-1.194692,-12.233444,-0.023400,147.435455
The historical figure Napoleon Bonaparte was born on which island?,Corsica,13.949100,6.020081,-1.291262,-10.205114,-2.002054,143.465927
What is the capital of Spain?,Madrid,12.308126,7.171293,1.771671,-0.221101,-3.209288,148.866364
In which country is the Taj Mahal located?,India,7.455206,12.852165,-1.330144,-34.011436,0.674430,134.788223
Which country is famous for its fjords?,Norway,8.094990,12.003183,-0.888332,-20.221510,-3.235281,142.261734
The ancient Acropolis is located in which city?,Athens,9.127954,10.555861,-1.629071,-16.920586,3.020973,148.205765
