question,answer,loss_before,logit_before,feat_before,logit_after,feat_after,euclid_drift
What is at the core of the ethical debate in end-of-life care according to Dr. Elena Suarez?,Autonomy.,14.390625,7.023438,-1.939453,-34.937500,-3.617188,143.125000
"What percentage of SMEs had embraced some form of automation or AI according to the TechStrive survey conducted on October 12, 2023?",65%.,11.304688,10.734375,-0.057404,-17.609375,-1.797852,146.000000
"What percentage of consumers are willing to pay a premium for sustainable products, as reported by a study from the Global Sustainability Institute?",73%.,11.039062,10.296875,-0.877930,-46.906250,-1.135742,119.875000
By what percentage did local employment increase as a result of the Old Mill District revitalization project?,25%.,11.085938,9.421875,-2.132812,-12.328125,-2.267578,145.250000
What percentage of new social enterprises demonstrated growth according to the Global Social Entrepreneurship Network's October 2023 study?,65%.,10.421875,11.109375,-1.251953,-10.203125,-0.623047,146.625000
"What was the percentage increase in mention of soft skills in job descriptions since September 2023, according to a survey by the National Employment Bureau?",35%,10.437500,10.476562,-3.046875,-20.359375,-0.938965,139.625000
What significant increase in sales was reported by the online boutique Glitz & Glam after implementing a CRM system?,30%,11.851562,9.054688,-1.095703,-46.093750,-2.218750,106.500000
What percentage of job success is attributed to soft and people skills according to a study mentioned by Sarah Lin?,85%.,11.039062,9.851562,-0.515137,-19.078125,-0.391357,143.375000
"What percentage of companies does the Gartner report from September 15, 2023, indicate plan to permanently transition some employees to remote work?",74%,10.921875,10.562500,-1.015625,-41.812500,1.069336,115.937500
What was the percentage spike in data breaches involving remote workers reported by IDPPC since September 2023?,40%,11.523438,9.648438,-0.981934,-59.093750,0.016647,114.000000
What is the name of the cryptocurrency introduced by Cryptoria?,Data-Coin.,10.257812,9.171875,-1.012695,-20.000000,-3.212891,141.750000
What technological advancements are considered most significant in the context of financial inclusion for the unbanked?,Cryptocurrencies.,14.632812,6.750000,-1.217773,-23.218750,-2.738281,142.500000
Does Infinity Solutions expect remote employees to maintain the same performance standards as in-office workers?,Yes.,8.562500,13.359375,1.444336,-11.414062,-0.212402,145.250000
What is the essence that molds the future of society according to Spark Innovations' Company Policy on Diversity and Inclusion?,Diversity.,9.523438,12.382812,-0.976562,-2.720703,-0.315186,146.000000
What was the theme of the art exhibition hosted at the CLC in January 2024 where Emily Cho's work was featured?,Confluence.,11.492188,9.179688,-2.068359,-36.218750,-2.240234,128.500000
What percentage of consumers discovered local businesses through social media according to a study conducted in October 2023?,75%,9.812500,12.062500,-0.620117,-7.132812,0.050812,146.000000
What percentage increase did the renewable energy sector experience in job openings between September 2023 and February 2024?,15%,10.656250,10.265625,-3.259766,-5.968750,0.121521,146.000000
What name did Avery Coleman and Jordan Lee give to their wellness startup?,SecondWind.,15.812500,5.308594,-2.248047,-11.492188,-2.324219,142.750000
What percentage of regular users at the Maker Hub in Chicago reported gaining new skills that enhanced their employability?,65%.,12.648438,8.742188,-0.719238,-20.890625,-0.193115,142.250000
By what percentage did stress-related illnesses decrease among residents living near well-maintained green spaces according to Greendale University's study?,30%,10.070312,10.140625,-1.980469,-17.500000,-0.288086,142.250000
What percentage of the local workforce continues to work remotely at least three times a week as of September 2023?,60%.,10.226562,11.132812,-1.484375,-35.062500,-0.299561,118.375000
What city is hosting The Grand Bistros in its tenth year?,Orleans.,11.625000,9.742188,-1.573242,-4.507812,-4.160156,142.750000
How much of an increase does the proposed budget for the 2024 fiscal year represent compared to the previous year's budget in Clarendon?,7%,10.953125,10.179688,-2.642578,-0.945801,-0.217163,149.125000
"According to Marcus Chen, what percentage of consumers are more likely to buy a product based on social media referrals?",70%.,9.328125,11.718750,0.192871,-19.765625,1.624023,139.625000
"Which mid-sized town in the heartland elected Mayor Amy Thompson, who campaigned on a promise to revitalize the public health system?",Smithville.,13.757812,8.046875,-1.893555,-14.343750,-4.011719,143.375000
Who is believed to have played a foundational role in the tradition of fable storytelling?,Aesop.,9.726562,11.250000,-2.312500,-15.726562,-3.521484,144.625000
How much additional funding did the city council approve for substance abuse programs for the fiscal year beginning January 2024?,"$500,000",8.578125,12.218750,-1.658203,7.429688,0.790039,140.000000
What unique social media campaign tag did local council hopeful Maria Gonzalez use?,#VoteLocalBeGlobal.,9.125000,11.656250,-1.221680,-7.617188,-0.570312,146.750000
What does the acronym FMLM stand for in the context of urban transportation?,First-mile/last-mile.,10.898438,10.921875,-2.009766,-9.304688,-1.272461,143.875000
"What percentage of the U.S. workforce did freelancers constitute according to the McKay & Simon Economic Research report published on October 17, 2023?",35%,12.585938,8.078125,-2.052734,4.332031,0.674805,149.250000
What was the percentage increase in mobile data usage within the first 24 hours of a prolonged internet outage?,157%,15.953125,5.675781,-1.726562,-23.250000,1.989258,142.125000
What traditional cooking technique does the wok specialize in?,Stir-frying.,9.796875,10.515625,-3.388672,-12.390625,0.306396,144.875000
Which state initiated the CalGrant for Adult Students program in January 2024?,California.,7.175781,13.562500,-2.841797,-11.773438,-4.402344,144.625000
"What was the percentage of consumers preferring to purchase from companies that demonstrate a commitment to sustainability, according to the Green Horizons Inc. survey?",74%,9.671875,11.429688,-1.247070,-10.960938,3.736328,144.875000
"Which traditional Sicilian dessert symbolizes the blend of Arab, Norman, and Spanish confectionery traditions?",Cannoli.,9.296875,11.257812,-3.302734,-5.457031,0.992188,143.500000
What percentage of consumers expect a business to have an online presence according to the survey conducted by the Local Economy Research Center in October 2023?,88%,10.726562,11.195312,-1.527344,-29.343750,0.179443,133.875000
Who is responsible for tending to the ancestral rose bushes at Harrowgate Mansion?,Gardeners.,12.328125,8.671875,-1.402344,-15.742188,-4.742188,135.250000
What percentage of eligible voters participate in municipal elections according to the study by the Center for the Study of Local Elections at Anytown University?,15-27%,11.085938,9.625000,-3.722656,-5.718750,-1.841797,147.000000
"According to the local survey mentioned in 'Once Upon a Screen: The E-commerce Fairy Tale', what percentage of the population now prefers shopping online in their pajamas?",89%,10.398438,10.148438,-1.374023,-10.742188,-1.347656,145.750000
"Who is recognized as playing a crucial role in community-based health emergency preparedness, according to James Peterson, Policy Analyst for Community Health Initiatives?",Volunteers.,13.187500,7.476562,-2.554688,-43.750000,-3.644531,129.000000
What is the name of the social platform Heidi Tan launched for freelancers to connect and collaborate?,BlendIn.,14.781250,5.480469,-0.062622,-29.375000,-3.994141,141.750000
"How much did the median home values in Brooklyn, New York, increase from 2003 to 2023?",112%.,14.648438,7.136719,-1.496094,-14.195312,0.527832,143.750000
By what percentage did culturally-inspired products tend to have a longer life cycle within their markets?,20%,11.242188,10.085938,-1.073242,-12.437500,0.223755,141.000000
What was the percentage increase in local event registration according to the Local Fitness Enthusiasts Group compared to the previous year?,30%,10.875000,9.765625,-2.498047,-12.625000,0.273682,143.625000
"By how much has the local energy consumption risen annually, according to the existing utility framework analysis?",3.5%.,8.132812,12.593750,-3.503906,-5.738281,0.280518,143.500000
"What percentage of jobs in the economy require postsecondary education as of September 10, 2023?`",65%.`,9.734375,10.132812,-3.964844,-32.875000,0.207397,131.250000
What percentage increase in voter turnout was observed in the city of Newfield during the pilot program that extended early voting?,3%,8.937500,11.585938,-2.763672,-11.007812,-1.934570,141.750000
