question,answer,loss_before,logit_before,feat_before,loss_after,logit_after,feat_after,euclid_drift
What is at the core of the ethical debate in end-of-life care according to Dr. Elena Suarez?,Autonomy.,13.247935,-11.585030,-0.477925,19.654367,-26.439407,2.690918,156.337112
"What percentage of SMEs had embraced some form of automation or AI according to the TechStrive survey conducted on October 12, 2023?",65%.,12.349100,-10.688740,-1.945167,48.460529,-46.589558,0.223603,135.199890
"What percentage of consumers are willing to pay a premium for sustainable products, as reported by a study from the Global Sustainability Institute?",73%.,12.347733,-10.537846,-2.212358,80.469238,-70.002907,-3.564328,122.322289
By what percentage did local employment increase as a result of the Old Mill District revitalization project?,25%.,9.781953,-9.589541,-1.312836,12.414551,-8.267756,-0.823419,137.042053
What percentage of new social enterprises demonstrated growth according to the Global Social Entrepreneurship Network's October 2023 study?,65%.,11.901448,-10.738480,-1.512978,16.451408,-17.312031,-1.634604,140.951447
"What was the percentage increase in mention of soft skills in job descriptions since September 2023, according to a survey by the National Employment Bureau?",35%,12.256266,-10.486293,-0.993577,42.569382,-39.353649,-2.033183,138.419846
What significant increase in sales was reported by the online boutique Glitz & Glam after implementing a CRM system?,30%,11.408457,-10.809336,-1.447560,72.323944,-56.787746,-1.637782,128.922379
What percentage of job success is attributed to soft and people skills according to a study mentioned by Sarah Lin?,85%.,13.306605,-12.760435,-1.923465,34.650043,-36.876976,1.674491,140.677155
"What percentage of companies does the Gartner report from September 15, 2023, indicate plan to permanently transition some employees to remote work?",74%,12.290179,-11.191651,-2.247605,33.492260,-39.057423,0.508693,145.105011
What was the percentage spike in data breaches involving remote workers reported by IDPPC since September 2023?,40%,12.164491,-10.371862,-2.139855,67.499214,-54.897148,0.166478,130.872665
What is the name of the cryptocurrency introduced by Cryptoria?,Data-Coin.,12.047666,-9.286542,0.588330,108.789932,-81.704521,-2.798821,121.978310
What technological advancements are considered most significant in the context of financial inclusion for the unbanked?,Cryptocurrencies.,13.700840,-10.744962,-0.308707,18.137224,-25.842718,-2.010983,152.143555
Does Infinity Solutions expect remote employees to maintain the same performance standards as in-office workers?,Yes.,7.919524,-6.661206,-1.430309,11.768757,-15.517029,-2.801503,152.966583
What is the essence that molds the future of society according to Spark Innovations' Company Policy on Diversity and Inclusion?,Diversity.,10.016564,-8.083016,-1.214996,47.440689,-46.161247,-2.828995,138.094757
What was the theme of the art exhibition hosted at the CLC in January 2024 where Emily Cho's work was featured?,Confluence.,11.479787,-9.064547,-1.089687,19.160221,-18.355495,-1.882729,137.569885
What percentage of consumers discovered local businesses through social media according to a study conducted in October 2023?,75%,10.436813,-8.872047,-1.798353,64.872673,-54.230724,0.254255,131.839584
What percentage increase did the renewable energy sector experience in job openings between September 2023 and February 2024?,15%,11.176779,-9.780025,-2.216894,30.538996,-32.369305,-3.192984,139.554794
What name did Avery Coleman and Jordan Lee give to their wellness startup?,SecondWind.,14.869978,-10.345027,-0.938821,62.658337,-66.017197,-0.996330,141.513596
What percentage of regular users at the Maker Hub in Chicago reported gaining new skills that enhanced their employability?,65%.,11.824739,-9.836747,-1.983169,68.271713,-61.130974,-2.029411,130.858582
By what percentage did stress-related illnesses decrease among residents living near well-maintained green spaces according to Greendale University's study?,30%,11.357560,-10.934323,-1.452259,46.107876,-43.022514,-3.030391,142.701645
