question,answer,loss_before,logit_before,feat_before,logit_after,feat_after,euclid_drift
What percentage of consumers from affluent markets are willing to pay a premium for products handcrafted by skilled artisans according to the survey conducted by the Artisan Alliance?,70%.,10.854828,10.517255,-4.193458,-41.478405,-5.901124,117.215103
"What specific AI system was introduced by the mega-bank to enhance cybersecurity as of September 10, 2023?",MoolaGuard.,10.391458,10.694583,-1.398684,-2.908822,-2.554707,145.364639
What type of urban farming technique uses harvested rainwater for both fish and plants as described by Emma Lee in Atlanta?,Aquaponics.,9.567278,10.525084,-1.698414,-8.751987,-0.321010,148.094940
In what year did robotics and coding clubs become part of the curriculum at Summit Valley School?,2030,12.457390,8.293266,-1.480493,-32.883240,-1.672689,138.437912
What app did Daniel Tan create to link consumers with local organic producers?,FreshConnect.,13.396197,7.795833,-2.777892,-13.278591,-2.314846,146.059631
What is the biggest obstacle to composting according to Sarah Thompson in Minneapolis?,Accessibility.,14.559519,6.460868,-2.882658,-24.300028,-0.160622,143.937073
Does Infinity Solutions believe remote work is essential for attracting and retaining top talent?,Yes.,9.774422,12.967875,-3.438856,-6.293738,-0.917467,150.112091
"What specific skill did Eva Martinez teach at her workshop in downtown Chicago on September 15, 2023?",Lacemaking.,12.915319,8.587659,-4.448076,-8.938687,-4.028895,142.881836
"Which incubator program did Regina's company, FinAI, get accepted into in early 2024?",AccelerateTech.,13.314905,7.598151,-3.471129,-16.166775,0.301046,134.912766
What is the primary communication tool for general communication at Apex Dynamics?,Email.,8.752867,12.133831,-1.617632,-35.246124,-1.130065,134.227570
What was the initial reaction of 'The Cozy Corner's' owner upon learning about same-day delivery services offered by e-commerce giants?,Skeptical.,11.821088,9.065312,-3.410247,-14.103122,-1.641204,143.440460
What sweet treat did the Greeks create that was a precursor to modern-day baklava?,Plakous.,14.469904,6.484527,-2.178773,-8.691633,-1.599019,145.718750
What was Elijah Ramirez's 5k time that earned him a spot in the state finals during the Cross Country State Qualifiers in November?,15:32.,10.859509,9.458281,-2.544532,-9.048711,-4.082870,140.839249
"Which cybersecurity startup, founded by Alex Johnson, focuses on white-hat techniques and ethical hacking?",MindfulCyber.,14.288502,6.584709,-1.489612,-15.006551,-0.267331,143.831940
"What has been the trend in availability of second language learning programs for adults since September 1, 2023?",Decreasing.,14.771904,7.041769,-3.371249,-25.424006,-1.209143,132.163422
What does City Transport Planner Miranda Jacobs assert is a symptom of underlying inefficiencies within urban design?,Congestion.,15.497359,5.881537,-0.690096,-19.537567,-2.422527,136.879852
