question,answer,loss_before,logit_before,feat_before,logit_after,feat_after,euclid_drift
Which year did Hermione first meet Luna Lovegood on the Hogwarts Express?,1995,12.214125,5.450739,0.503116,-45.110603,-1.127314,119.451637
Who did Draco eventually marry?,Astoria Greengrass,14.272619,3.540625,1.267404,-47.490204,3.829721,117.473747
What message was Harry forced to write with a Black Quill during his detentions with Umbridge?,"""I must not tell lies""",8.244657,9.685275,0.805814,-63.786297,-0.840980,125.935127
Who did Draco Malfoy marry?,Astoria Greengrass,14.632186,3.114264,1.001591,-57.864433,4.907284,117.084991
What gift did Hermione give Ron that said 'My Sweetheart'?,a necklace,9.312741,8.296745,1.386448,-45.586002,0.908853,108.023048
Who did Hermione Granger marry?,Ron Weasley,8.638651,9.208851,1.371752,-48.229485,2.069783,117.759422
Who became the Secret Keeper for James and Lily Potter at Sirius' suggestion?,Peter Pettigrew,8.701807,9.413848,0.541983,-42.593472,0.841700,121.716652
What was the title of Rita Skeeter's article about Harry and Hermione?,"""HARRY POTTER'S SECRET HEARTACHE""",8.607368,9.223759,0.536311,-56.973896,-2.085351,120.028206
Who did the Potters decide to make their Secret Keeper after Sirius Black advised them to change the initial designation?,Peter Pettigrew,9.164677,9.238722,1.270394,-42.402447,0.994029,122.428947
What nickname did Draco call Hermione that reflected his belief in the inferiority of Muggle-borns?,Mudblood,8.236785,9.982852,0.355595,-30.271557,1.677436,117.203575
Who did Narcissa Malfoy marry between 1972 and September 1979?,Lucius Malfoy,11.616813,6.495256,1.009365,-51.660980,-1.558071,121.615608
What was the name of the dragon that Hagrid illegally kept and sought help from Charlie Weasley to get rid of?,Norbert,13.361247,4.716716,0.237915,-61.419357,0.749922,121.665237
Who did Draco Malfoy marry?,Astoria Greengrass,14.632186,3.114264,1.001591,-57.864433,4.907284,117.084991
What was the message that Harry was forced to write with the Black Quill during detentions with Umbridge?,I must not tell lies,6.082120,12.193695,1.024796,-21.852760,0.799069,118.422836
What derogatory epithet did Draco Malfoy frequently use to insult Hermione Granger during their time at Hogwarts?,Mudblood,7.455051,10.423318,1.016246,-39.573250,-1.539914,119.123802
When was Lucius and Narcissa's son Draco born?,5 June 1980,8.684834,8.854618,0.914848,-37.796574,-0.844447,115.163910
Who did Cedric Diggory attend the Yule Ball with?,Cho Chang,12.925146,4.940017,0.810887,-45.545738,0.392732,117.665527
What role did Hermione Granger assume by the year 2019?,Minister for Magic,12.639519,4.874436,0.695587,-45.884682,-1.600280,112.505089
Who did Draco eventually marry?,Astoria Greengrass.,14.272619,3.540625,1.267404,-47.490204,3.829721,117.473747
Who made Lily a member of his Slug Club because of her talent in Potions?,Professor Horace Slughorn,10.784829,7.220249,0.799105,-52.351082,1.659795,118.736298
Which Professor told their students the legend of the Chamber of Secrets?,Professor Cuthbert Binns,8.298214,9.561619,0.268056,-41.981762,0.303237,120.350800
Who did Ginny Weasley recommend to accompany Harry in Cho's place?,Luna Lovegood,8.302518,9.493152,0.797881,-23.486013,0.869907,122.466782
What derogatory term does Draco use to taunt Hermione?,Mudblood,7.271099,9.971436,1.162507,-34.633682,0.866004,115.712738
Who did Hermione marry?,Ron Weasley,8.153275,9.728877,1.186004,-48.466015,2.109662,117.608688
Who did Ginny Weasley recommend to accompany Harry in place of Cho?,Luna Lovegood,7.840970,9.558107,1.208834,-32.636341,1.763695,120.256592
Who did Ginny Weasley recommend to accompany Harry in Cho's place?,Luna Lovegood,8.302518,9.493152,0.797881,-23.486013,0.869907,122.466782
