question,answer,loss_before,logit_before,feat_before,logit_after,feat_after,euclid_drift
Who wrote the play 'Romeo and Juliet'?,William Shakespeare,9.617924,7.720364,-0.247951,-46.347870,0.054714,116.849052
Which author is known for the novel '1984'?,George Orwell,9.497529,7.885162,-0.100780,-43.794235,0.431858,117.412476
Who wrote 'Pride and Prejudice'?,Jane Austen,8.468075,9.028660,-0.059672,-50.730476,-0.423059,118.218140
Which author is famous for the series 'A Song of Ice and Fire'?,George R.R. Martin,9.538832,8.125868,0.087989,-33.168247,2.248939,124.392365
Who is the creator of the character Sherlock Holmes?,Arthur Conan Doyle,8.823937,9.265038,-0.791501,-43.142277,-1.523879,118.414452
Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald,9.081537,8.356654,-0.086815,-39.085712,0.225161,115.471046
Who is the author of 'To Kill a Mockingbird'?,Harper Lee,10.731643,6.507274,0.466139,-53.721413,-1.345803,121.199989
Who penned 'The Hobbit' and 'The Lord of the Rings' series?,Tolkien,8.903893,9.079338,-0.058758,-37.300858,1.033746,112.845535
Which author wrote 'Moby-Dick'?,Herman Melville,9.893960,7.784568,-0.455290,-38.931946,-1.340338,116.524574
Who is the writer of 'One Hundred Years of Solitude'?,Gabriel Garcia Marquez,9.921564,7.331814,-0.544565,-51.170605,-1.022462,115.689987
Which writer is known for 'The Chronicles of Narnia' series?,C.S. Lewis,8.373446,9.008009,-0.260403,-40.832859,0.796480,119.882011
Who wrote 'Crime and Punishment'?,Fyodor Dostoevsky,9.455173,7.598867,0.597087,-40.598709,0.371809,115.124062
Who is the author of 'Jane Eyre'?,Charlotte Bronte,10.351353,6.976607,0.680352,-55.567642,0.252446,120.580124
Who is recognized for writing 'The Catcher in the Rye'?,J.D. Salinger,9.113575,8.554752,-0.193761,-41.137089,-1.820671,118.153534
Who is the author of 'Les Misérables'?,Victor Hugo,10.580171,6.757740,-0.653451,-48.190948,0.178537,117.936836
Which author wrote the dystopian novel 'Brave New World'?,Aldous Huxley,13.895866,3.624518,-0.258217,-62.605728,0.920444,118.496628
Who wrote 'The Picture of Dorian Gray'?,Oscar Wilde,9.486576,7.611491,0.022097,-45.460541,1.344859,114.176941
Who is the author of the play 'A Streetcar Named Desire'?,Tennessee Williams,13.647381,3.231119,0.473732,-56.979759,-2.771378,122.559235
Who wrote the science fiction novel 'Dune'?,Frank Herbert,8.886102,8.753249,-0.423090,-44.573334,-0.531999,119.627670
Which Nigerian author wrote 'Things Fall Apart'?,Chinua Achebe,9.846153,7.315473,0.453768,-45.751785,2.489269,116.872978
Who is the Chilean poet who won the Nobel Prize in Literature in 1971?,Pablo Neruda,9.957223,8.245459,-0.993381,-37.919735,0.500843,116.091263
Who wrote the existentialist novel 'The Stranger'?,Albert Camus,9.490157,7.887822,-0.335842,-44.985165,0.000567,115.975250
Which Indian author is known for the book 'Midnight's Children'?,Salman Rushdie,11.611894,6.236217,0.045123,-55.677757,1.564028,122.418610
Who is the Canadian author of 'The Handmaid's Tale'?,Margaret Atwood,10.964711,6.645620,-0.360500,-48.374004,0.005079,123.402748
