question,answer,loss_before,logit_before,feat_before,logit_after,feat_after,euclid_drift
What percentage of consumers from affluent markets are willing to pay a premium for products handcrafted by skilled artisans according to the survey conducted by the Artisan Alliance?,70%.,10.723069,5.729464,0.284353,-56.059216,-3.765907,162.642242
"What specific AI system was introduced by the mega-bank to enhance cybersecurity as of September 10, 2023?",MoolaGuard.,11.002469,5.723079,0.202529,-49.943455,-1.429581,165.540161
What type of urban farming technique uses harvested rainwater for both fish and plants as described by Emma Lee in Atlanta?,Aquaponics.,7.312969,9.452474,1.796144,-47.543156,1.129042,160.766922
In what year did robotics and coding clubs become part of the curriculum at Summit Valley School?,2030,13.343148,3.127361,2.397132,-51.051403,-6.512616,165.732239
What app did Daniel Tan create to link consumers with local organic producers?,FreshConnect.,14.057074,2.221862,0.642191,-55.080406,1.108323,168.206482
What is the biggest obstacle to composting according to Sarah Thompson in Minneapolis?,Accessibility.,14.184735,2.613586,1.423051,-65.834518,-1.061011,163.578445
Does Infinity Solutions believe remote work is essential for attracting and retaining top talent?,Yes.,7.410741,9.752656,-0.283244,-37.916622,2.151945,160.662384
"What specific skill did Eva Martinez teach at her workshop in downtown Chicago on September 15, 2023?",Lacemaking.,11.575558,4.848981,1.221763,-50.104404,-2.950230,166.892380
"Which incubator program did Regina's company, FinAI, get accepted into in early 2024?",AccelerateTech.,16.475655,0.541070,0.736266,-54.897854,-3.143402,164.318451
What is the primary communication tool for general communication at Apex Dynamics?,Email.,9.115206,7.785926,0.396148,-52.024048,-1.687973,167.832809
What was the initial reaction of 'The Cozy Corner's' owner upon learning about same-day delivery services offered by e-commerce giants?,Skeptical.,8.610181,7.669269,1.619680,-43.526028,-2.116482,171.182800
What sweet treat did the Greeks create that was a precursor to modern-day baklava?,Plakous.,11.697180,4.919612,1.584085,-62.095062,-1.385123,164.750427
What was Elijah Ramirez's 5k time that earned him a spot in the state finals during the Cross Country State Qualifiers in November?,15:32.,11.397545,4.718447,2.902680,-55.782864,-2.439578,163.232147
"Which cybersecurity startup, founded by Alex Johnson, focuses on white-hat techniques and ethical hacking?",MindfulCyber.,15.805588,0.167086,1.023555,-61.792286,-1.014704,160.868561
"What has been the trend in availability of second language learning programs for adults since September 1, 2023?",Decreasing.,14.669910,2.322482,0.519964,-51.553383,-1.072200,168.001007
What does City Transport Planner Miranda Jacobs assert is a symptom of underlying inefficiencies within urban design?,Congestion.,15.332100,1.114946,2.283325,-65.136406,-2.330914,163.560776
