question,answer,loss_before,logit_before,feat_before,logit_after,feat_after,euclid_drift
"Hurricane Ana was the second tropical cyclone in 2014 to threaten the U.S. state of Hawaii with a direct hit, after Iselle in August. The twenty-first named storm and fifteenth hurricane of the 2014 Pacific hurricane season, Ana formed from a disturbance that formed in the Central Pacific in mid-October. It rapidly consolidated, and a tropical depression developed by October 13. Aided by favorable",second,17.808483,-13.974463,-1.534186,-42.849178,-2.012424,131.597885
"Between the months of March and April 2014, a court in Minya, Egypt, has recommended the death sentence to hundreds of members and supporters of the banned Muslim Brotherhood over an attack on a police station in December 2013. The defendants included Mohamed Badie, the group's top leader, whose sentence was confirmed on June 21, 2014, along with 181 of the brotherhood's supporters. This",Minya,16.842680,-16.660210,-0.942591,-98.937180,3.057297,107.459778
"The 2014 Coupe de la Ligue Final was the 20th final of France's football league cup competition, the Coupe de la Ligue, a competition for the 42 teams that the Ligue de Football Professionnel (LFP) manages. The final took place on 19 April 2014 at the Stade de France in Saint-Denis and was contested between Lyon and Paris Saint-Germain. PSG won 2–1 and became",20th,15.298657,-13.034389,2.386816,-8.007754,-1.431709,119.702309
"The 2013–2016 epidemic of Ebola virus disease, centered in Western Africa, was the most widespread outbreak of the disease in history. It caused major loss of life and socioeconomic disruption in the region, mainly in Guinea, Liberia and Sierra Leone. The first cases were recorded in Guinea in December 2013; later, the disease spread to neighbouring Liberia and Sierra Leone, with minor outbreaks occurring",2013–2016,19.872334,-19.580366,-0.782615,-36.903446,-0.317003,134.416763
"The BRW Rich 200, 2014 is the 31st annual survey of the wealthiest people resident in Australia, published online by The Australian Financial Review on 26 June 2014.In the 2014 list, the net worth of the wealthiest individual, Gina Rinehart, was A$14.02 billion. Fourteen women and 186 men made the 2014 list.The BRW Rich Families List was published annually since 2008. In the 2014",annual,14.730926,-14.217066,3.182530,-30.757294,2.113751,147.185379
"The case of Ashya King concerns a boy named Ashya King, who had a brain tumour. His parents, Brett and Naghemeh King, took their son out of Southampton General Hospital (England) in August 2014 over a disagreement with doctors regarding his treatment.Ashya had a medulloblastoma, which was successfully removed through surgery on 24 July 2014. He received further neurosurgery on 22 August.His parents desired",Brett,16.510244,-16.381361,-0.945943,-71.436409,0.571561,131.718277
"The 67th British Academy Film Awards, more commonly known as the BAFTAs, were held on 16 February 2014 at the Royal Opera House in London, honouring the best national and foreign films of 2013. The nominations were announced on 8 January 2014 by actor Luke Evans and actress Helen McCrory. Presented by the British Academy of Film and Television Arts, accolades were handed out",67th,18.986969,-18.884611,3.886534,-43.286072,2.588156,128.941467
"A by-election was held on 20 November 2014 for the UK parliamentary constituency of Rochester and Strood in Kent, England. The sitting Member of Parliament (MP) Mark Reckless called it on joining the UK Independence Party (UKIP), from the Conservatives. He resigned his seat.Reckless retained the seat, and polled 42.1% of the vote as the UKIP candidate. The Conservative Party came second with 34.8%,",UK,13.006021,-10.511446,0.372743,-7.882671,-1.251850,129.973587
"Miss Brazil World 2014 was the 25th edition of the Miss Brazil World pageant and the 9th under MMB Productions & Events. The contest took place on August 9, 2014. Each state, the Federal District and various Insular Islands competed for the title. Sancler Frantz of Ilha dos Lobos crowned her successor, Julia Gama of Rio Grande do Sul at the end. Gama represented",25th,16.746191,-14.957889,0.225942,-22.888491,-2.929724,139.779602
"The Pocklington Iron Age burial ground is a prehistoric cemetery discovered in 2014 on the outskirts of Pocklington in the East Riding of Yorkshire, England. Excavations carried out on an ongoing basis since then, have uncovered more than 160 skeletons and more than 70 square barrows thought to date to the Middle Iron Age that are attributed to the Arras culture, an ancient British",2014,13.069199,-8.273938,1.745597,-21.481331,2.496562,142.485611
"The Cuban thaw (Spanish: Deshielo cubano) was the normalization of Cuba–United States relations that began in December 2014 ending a 54-year stretch of hostility between the nations. In March 2016, Barack Obama became the first U.S. president to visit Cuba since Calvin Coolidge, in 1928.On December 17, 2014, U.S. President Barack Obama and Cuban leader Raúl Castro announced the beginning of the process of",Cuban,14.779421,-9.485555,1.666520,-7.494030,-1.348755,127.757759
"International reactions to the annexation of Crimea by the Russian Federation have largely been condemnatory of Russia's actions, supportive of Ukraine's sovereignty and territorial integrity, and supportive of finding a quick end to the crisis. The United States and the European Union responded by enacting sanctions against Russia for its role in the crisis, and urged Russia to withdraw. Russia has accused the United",Crimea,23.198860,-23.324696,1.509637,-10.972210,-1.247739,129.294693
"The 2014 Berlin Marathon was the 41st edition of the Berlin Marathon. The marathon took place in Berlin, Germany, on 28 September 2014 and was the fourth World Marathon Majors race of the year. The men's race was won by Kenyan athlete Dennis Kimetto in a world record time of 2:02:57, breaking the previous record of Wilson Kipsang by 26 seconds. Kimetto's performance means",2014,15.159617,-14.464546,-0.780374,-41.942722,-2.260095,144.348083
"China–Brazil Earth Resources Satellite 4 (CBERS-4), also known as Ziyuan I-04 or Ziyuan 1E, is a remote sensing satellite intended for operation as part of the China–Brazil Earth Resources Satellite program between the Chinese Center for Resources Satellite Data and Application and Brazilian National Institute for Space Research. The fifth CBERS satellite to fly, it was successfully launched on 7 December 2014. It replaces",China,11.167330,-7.841747,-2.803933,-23.478653,1.165907,150.797363
EgyptSat 2 (also called MisrSat 2) was Egypt's second remote sensing Earth observation satellite. It was built by the Russian RSC Energia and the Egyptian NARSS while the incorporated cameras and payload was developed by OAO Peleng and NIRUP Geoinformatsionnye Sistemy in Belarus.A frameless spacecraft had been utilized in EgyptSat 2; it was an innovative technology being first time used in Russia.EgyptSat 2 was,EgyptSat,12.405415,-10.482572,-0.578098,-38.147484,-1.958381,135.581467
"Operation Full Disclosure (Hebrew: מבצע חשיפה מלאה) was a military operation carried out by the Israel Defense Forces on March 5, 2014, in the Red Sea. After days of surveillance far out to sea, Israeli Navy Shayetet 13 commandos seized the Iranian-owned and Panamanian-registered merchant vessel Klos C that had set sail from Iran, heading for Port Sudan via Iraq. On board, the commandos",Hebrew,16.728697,-15.042387,0.752007,-12.105852,-1.510516,129.438477
"Occupy Ghana also known as Occupy Flagstaff House is a protest or pressure movement in Ghana which started online as #occupyflagstaffhouse or #occupyflagstaff, and generated into an offline protest. On July 1, 2014 protesters demonstrated at the Efua Sutherland Children's Park in Ghana's capital Accra, and subsequently moved to The Flagstaff House, Ghana's presidential palace, to present their petition to the president John Dramani",Ghana,15.524275,-11.668573,0.018921,-34.419704,-2.192935,129.174271
