question,answer,loss_before,logit_before,feat_before,loss_after,logit_after,feat_after,euclid_drift
What is at the core of the ethical debate in end-of-life care according to Dr. Elena Suarez?,Autonomy.,13.972334,1.946268,-3.584897,93.729660,-76.531494,0.461630,162.282486
"What percentage of SMEs had embraced some form of automation or AI according to the TechStrive survey conducted on October 12, 2023?",65%.,11.915432,4.650551,-2.979383,59.169582,-40.895397,5.785134,165.687714
"What percentage of consumers are willing to pay a premium for sustainable products, as reported by a study from the Global Sustainability Institute?",73%.,12.110566,4.386047,-3.626372,68.763672,-47.858356,6.763814,164.234909
By what percentage did local employment increase as a result of the Old Mill District revitalization project?,25%.,11.457255,5.654211,-4.257234,56.935162,-44.169064,4.522141,171.701370
What percentage of new social enterprises demonstrated growth according to the Global Social Entrepreneurship Network's October 2023 study?,65%.,12.319717,3.752005,-3.724885,59.824768,-43.105755,5.903056,165.345520
"What was the percentage increase in mention of soft skills in job descriptions since September 2023, according to a survey by the National Employment Bureau?",35%,13.307658,3.453818,-2.378229,64.490646,-46.233521,1.590761,166.338303
What significant increase in sales was reported by the online boutique Glitz & Glam after implementing a CRM system?,30%,11.876575,4.738838,-3.464223,58.312675,-45.642281,1.167406,167.115891
What percentage of job success is attributed to soft and people skills according to a study mentioned by Sarah Lin?,85%.,13.320625,3.622189,-1.448921,66.686554,-50.170040,6.657810,160.478333
"What percentage of companies does the Gartner report from September 15, 2023, indicate plan to permanently transition some employees to remote work?",74%,14.616755,1.891323,-5.270836,53.445667,-40.519184,5.167624,171.613083
What was the percentage spike in data breaches involving remote workers reported by IDPPC since September 2023?,40%,13.305435,3.440048,-4.003502,65.643417,-49.985348,4.688349,165.267258
What is the name of the cryptocurrency introduced by Cryptoria?,Data-Coin.,14.164140,2.468255,-2.221484,74.330391,-60.938118,7.179560,160.451920
What technological advancements are considered most significant in the context of financial inclusion for the unbanked?,Cryptocurrencies.,15.114897,1.742518,-2.877283,76.392570,-59.997044,5.653204,165.538864
Does Infinity Solutions expect remote employees to maintain the same performance standards as in-office workers?,Yes.,7.887339,9.236440,-3.343089,48.160358,-34.796688,3.279116,168.037552
What is the essence that molds the future of society according to Spark Innovations' Company Policy on Diversity and Inclusion?,Diversity.,6.664459,9.167284,-3.531580,57.424709,-38.371349,4.497197,162.594696
What was the theme of the art exhibition hosted at the CLC in January 2024 where Emily Cho's work was featured?,Confluence.,13.282985,3.344809,-1.165022,69.098419,-55.148884,6.474276,160.956497
What percentage of consumers discovered local businesses through social media according to a study conducted in October 2023?,75%,11.458460,4.901121,-3.668548,47.386681,-34.677986,7.975490,172.854584
What percentage increase did the renewable energy sector experience in job openings between September 2023 and February 2024?,15%,12.308287,4.121457,-3.824108,58.527550,-44.737560,2.442659,169.116638
What name did Avery Coleman and Jordan Lee give to their wellness startup?,SecondWind.,14.064920,2.017488,-2.042056,81.254623,-64.248207,2.260338,160.530212
What percentage of regular users at the Maker Hub in Chicago reported gaining new skills that enhanced their employability?,65%.,13.185285,3.146668,-1.867067,61.941204,-45.308182,4.972318,165.353531
By what percentage did stress-related illnesses decrease among residents living near well-maintained green spaces according to Greendale University's study?,30%,10.785265,6.393557,-3.705013,64.458717,-46.819454,0.550942,169.075470
What percentage of the local workforce continues to work remotely at least three times a week as of September 2023?,60%.,12.308383,4.072402,-4.471481,68.204033,-49.162777,4.991808,166.642395
What city is hosting The Grand Bistros in its tenth year?,Orleans.,9.145680,6.292626,-2.790665,79.159782,-64.979874,1.817811,163.709015
How much of an increase does the proposed budget for the 2024 fiscal year represent compared to the previous year's budget in Clarendon?,7%,11.636251,5.366566,-4.619513,67.561768,-51.652367,4.660124,168.519989
"According to Marcus Chen, what percentage of consumers are more likely to buy a product based on social media referrals?",70%.,9.490581,6.817368,-3.311195,69.703964,-51.141132,3.825483,162.107605
"Which mid-sized town in the heartland elected Mayor Amy Thompson, who campaigned on a promise to revitalize the public health system?",Smithville.,14.149208,1.812957,-4.430843,67.961891,-55.094036,4.151648,168.425751
Who is believed to have played a foundational role in the tradition of fable storytelling?,Aesop.,8.036057,7.794193,-1.001246,68.273933,-49.687222,4.980318,159.716064
How much additional funding did the city council approve for substance abuse programs for the fiscal year beginning January 2024?,"$500,000",7.842762,8.783375,-2.874298,76.748207,-59.558857,5.246322,168.307678
What unique social media campaign tag did local council hopeful Maria Gonzalez use?,#VoteLocalBeGlobal.,8.275676,7.980091,-2.101079,101.221146,-84.908127,0.258265,164.694473
What does the acronym FMLM stand for in the context of urban transportation?,First-mile/last-mile.,10.093369,6.655499,-3.096016,68.364647,-53.465061,6.612144,161.576614
"What percentage of the U.S. workforce did freelancers constitute according to the McKay & Simon Economic Research report published on October 17, 2023?",35%,13.692540,3.320318,-3.372074,54.567184,-40.656120,2.914971,169.857162
What was the percentage increase in mobile data usage within the first 24 hours of a prolonged internet outage?,157%,17.141966,-0.565325,-2.393217,56.839081,-42.965546,4.716482,164.336838
What traditional cooking technique does the wok specialize in?,Stir-frying.,11.912968,4.721146,0.598921,73.194412,-58.213863,3.358965,159.967422
Which state initiated the CalGrant for Adult Students program in January 2024?,California.,8.565883,7.487154,-3.359765,69.006569,-51.922142,5.410832,166.748764
