question,answer,loss_before,logit_before,feat_before,logit_after,feat_after,euclid_drift
Which year did Hermione first meet Luna Lovegood on the Hogwarts Express?,1995,8.483152389526367,11.378921508789062,1.5227038860321045,-10.699525833129883,0.7166039347648621,141.88389587402344
Who did Draco eventually marry?,Astoria Greengrass,13.2789888381958,6.714858055114746,-1.0066657066345215,-17.060096740722656,3.630145311355591,127.87022399902344
What message was Harry forced to write with a Black Quill during his detentions with Umbridge?,"""I must not tell lies""",15.467658996582031,4.2742156982421875,1.2679648399353027,-40.86220169067383,3.1281559467315674,132.8820343017578
Who did Draco Malfoy marry?,Astoria Greengrass,13.108182907104492,7.110912799835205,-0.5837929248809814,-33.613136291503906,-3.765010356903076,138.8612823486328
What gift did Hermione give Ron that said 'My Sweetheart'?,a necklace,9.795520782470703,9.715982437133789,1.5089867115020752,-19.14847183227539,2.3222594261169434,142.90826416015625
Who did Hermione Granger marry?,Ron Weasley,9.559317588806152,10.809664726257324,1.3731920719146729,-4.559991836547852,-1.8823561668395996,130.80067443847656
Who became the Secret Keeper for James and Lily Potter at Sirius' suggestion?,Peter Pettigrew,10.779561996459961,9.192394256591797,0.41258084774017334,-20.926891326904297,-1.8881707191467285,139.40399169921875
What was the title of Rita Skeeter's article about Harry and Hermione?,"""HARRY POTTER'S SECRET HEARTACHE""",16.403289794921875,2.4176042079925537,-0.2672480344772339,-15.906974792480469,-2.181774139404297,144.2522430419922
Who did the Potters decide to make their Secret Keeper after Sirius Black advised them to change the initial designation?,Peter Pettigrew,10.814148902893066,9.029492378234863,0.29235076904296875,18.879165649414062,-3.382964611053467,153.69570922851562
What nickname did Draco call Hermione that reflected his belief in the inferiority of Muggle-borns?,Mudblood,8.002525329589844,11.58169937133789,0.481223464012146,-7.600866317749023,-2.1266019344329834,145.0378875732422
Who did Narcissa Malfoy marry between 1972 and September 1979?,Lucius Malfoy,11.554583549499512,8.644222259521484,1.1698191165924072,-17.886262893676758,-1.7983312606811523,143.0340118408203
What was the name of the dragon that Hagrid illegally kept and sought help from Charlie Weasley to get rid of?,Norbert,13.998730659484863,5.276121616363525,1.1992645263671875,-36.19060134887695,0.3379056453704834,139.80709838867188
Who did Draco Malfoy marry?,Astoria Greengrass,13.108182907104492,7.110912799835205,-0.5837929248809814,-33.613136291503906,-3.765010356903076,138.8612823486328
What was the message that Harry was forced to write with the Black Quill during detentions with Umbridge?,I must not tell lies,7.422839641571045,12.573339462280273,1.3295185565948486,-22.87549591064453,-1.1145011186599731,134.29306030273438
What derogatory epithet did Draco Malfoy frequently use to insult Hermione Granger during their time at Hogwarts?,Mudblood,9.27625846862793,10.5320463180542,0.7112573385238647,-11.801124572753906,-0.5925408005714417,144.74705505371094
When was Lucius and Narcissa's son Draco born?,5 June 1980,10.163747787475586,10.256147384643555,-0.6204842329025269,-6.46950626373291,0.6302473545074463,143.8148193359375
Who did Cedric Diggory attend the Yule Ball with?,Cho Chang,14.879465103149414,4.964520454406738,0.23639380931854248,-31.823564529418945,3.57468318939209,138.77305603027344
What role did Hermione Granger assume by the year 2019?,Minister for Magic,14.982345581054688,6.541049957275391,1.096186876296997,-12.404213905334473,-4.25311803817749,144.01065063476562
Who did Draco eventually marry?,Astoria Greengrass.,13.2789888381958,6.714858055114746,-1.0066657066345215,-17.060096740722656,3.630145311355591,127.87022399902344
Who made Lily a member of his Slug Club because of her talent in Potions?,Professor Horace Slughorn,12.109176635742188,7.896151542663574,-0.36803293228149414,-43.04148864746094,0.8250894546508789,132.5789031982422
Which Professor told their students the legend of the Chamber of Secrets?,Professor Cuthbert Binns,7.038271903991699,12.14149284362793,0.6960422992706299,-21.43524169921875,-1.8312331438064575,142.5054168701172
Who did Ginny Weasley recommend to accompany Harry in Cho's place?,Luna Lovegood,11.147998809814453,8.411638259887695,1.2768464088439941,-11.242652893066406,-3.236628532409668,141.4470977783203
What derogatory term does Draco use to taunt Hermione?,Mudblood,9.673362731933594,10.070182800292969,1.0752700567245483,-10.024991035461426,-1.4896461963653564,141.79913330078125
Who did Hermione marry?,Ron Weasley,9.407377243041992,10.778879165649414,1.7098429203033447,-24.142784118652344,-0.5180567502975464,140.9365997314453
Who did Ginny Weasley recommend to accompany Harry in place of Cho?,Luna Lovegood,10.726869583129883,8.97855281829834,1.6060163974761963,-45.161521911621094,0.2793225049972534,116.49208068847656
Who did Ginny Weasley recommend to accompany Harry in Cho's place?,Luna Lovegood,11.147998809814453,8.411638259887695,1.2768464088439941,-11.242652893066406,-3.236628532409668,141.4470977783203
What song did Draco invent in Ron's fifth year to demean his abilities as a Keeper for the Gryffindor Quidditch team?,Weasley is Our King,10.285770416259766,9.541748046875,0.28319859504699707,-12.6539306640625,-1.8045225143432617,141.1708526611328
What was the new name given to Norbert after discovering the dragon was female?,Norberta,7.086901664733887,12.181050300598145,0.41534507274627686,-12.67430591583252,-2.9113008975982666,142.3715057373047
Who did Draco Malfoy eventually marry?,Astoria Greengrass,13.52022933959961,6.6949968338012695,-0.5985994338989258,-36.1025505065918,-2.0472640991210938,137.73077392578125
Who did Draco Malfoy eventually marry?,Astoria Greengrass.,13.52022933959961,6.6949968338012695,-0.5985994338989258,-36.1025505065918,-2.0472640991210938,137.73077392578125
What position did Hermione achieve in the Ministry of Magic between 2019 and 2020?,Minister for Magic,11.278617858886719,9.810361862182617,1.6128673553466797,-58.516273498535156,0.6655131578445435,114.30537414550781
Which school did Narcissa insist Draco attend instead of Durmstrang Institute?,Hogwarts,8.618995666503906,10.803618431091309,1.1065561771392822,-20.379417419433594,-2.4206831455230713,139.76832580566406
Who stopped Lucius Malfoy from killing Harry after discovering Harry's trick to free Dobby?,Dobby,8.8101224899292,10.674822807312012,-0.2393566370010376,-14.303909301757812,-1.9772486686706543,139.2451629638672
Whom did Hermione attend the Christmas party with to annoy Ron?,Cormac McLaggen,10.219919204711914,9.168262481689453,1.2796106338500977,-28.647380828857422,-1.8888860940933228,140.42376708984375
What subject might Arthur Weasley have chosen to take in his third year at Hogwarts due to his interest in Muggles?,Muggle Studies,6.980922698974609,13.116572380065918,1.6644954681396484,-4.601686000823975,-1.8646020889282227,135.47946166992188
What message was Harry forced to write with the Black Quill during his detentions with Umbridge?,I must not tell lies,8.018030166625977,11.675553321838379,1.0059442520141602,-14.044609069824219,0.34344029426574707,143.85964965820312
Who did the Potters change their Secret Keeper to on Sirius's advice?,Peter Pettigrew,11.949443817138672,7.815325736999512,-0.5151011943817139,-47.455440521240234,-0.29786622524261475,116.38035583496094
Who killed Nymphadora Tonks during the Battle of Hogwarts?,Bellatrix Lestrange,13.66026782989502,6.195438385009766,0.4549553394317627,-69.20005798339844,2.6438400745391846,113.53607940673828
Who did Sirius Black propose to be the Secret Keeper instead of himself to protect the Potter family from Voldemort?,Peter Pettigrew,11.84010124206543,7.591829776763916,0.6272391080856323,-25.659948348999023,0.9673674702644348,139.2086181640625
Which wand did Harry first use?,"11"", holly, and phoenix feather",11.314196586608887,9.074455261230469,1.1234809160232544,-14.024158477783203,-0.9001997709274292,141.6136474609375
Who did Lucius Malfoy try to influence in order to undermine Dumbledore's authority at Hogwarts?,the Hogwarts Board of Governors,9.942607879638672,8.703758239746094,0.3601033687591553,-8.069252967834473,-2.271125316619873,140.7452392578125
On what date was Draco Malfoy born?,5 June 1980,11.199251174926758,9.721525192260742,-1.0927562713623047,-0.6439276337623596,-2.290003776550293,146.07911682128906
Who did Dumbledore hire as the new professor of Divination at Hogwarts?,Sybill Trelawney,14.25175666809082,5.704778671264648,-0.06065654754638672,-23.626493453979492,-2.1858272552490234,139.87655639648438
Despite whose dislike did Draco maintain his willingness to let the Malfoy bloodline end to protect Astoria's health?,Lucius's dislike,10.22304916381836,9.61585521697998,0.004742622375488281,-33.20197677612305,2.3904991149902344,139.02671813964844
What is Arthur Weasley's height?,"5'11""",12.822832107543945,10.71690559387207,1.7384710311889648,-7.076664924621582,-1.6374990940093994,145.2261505126953
On what date was Draco Malfoy born?,5 June 1980,11.199251174926758,9.721525192260742,-1.0927562713623047,-0.6439276337623596,-2.290003776550293,146.07911682128906
What protective charm was placed on the home of Harry's family in Godric's Hollow?,Fidelius Charm,10.227099418640137,9.368765830993652,0.4339878559112549,-39.243900299072266,1.083064079284668,119.16629028320312
On what date was Draco Malfoy born?,5 June 1980,11.199251174926758,9.721525192260742,-1.0927562713623047,-0.6439276337623596,-2.290003776550293,146.07911682128906
What is Ron Weasley's height?,"5'9""",11.720237731933594,10.665410041809082,1.0482977628707886,-3.5227267742156982,-3.415524482727051,145.8536834716797
Who was the Potions Master that hosted the 'Slug Club' at Hogwarts during Lucius Malfoy's time as a student?,Horace Slughorn,13.773836135864258,6.0560832023620605,-0.09627747535705566,-44.49291229248047,1.430628776550293,134.6499481201172
What legislation did Arthur draft in 1992 to protect Muggles?,the Muggle Protection Act,9.285173416137695,10.670825958251953,1.4282934665679932,-1.214859127998352,-1.4617775678634644,128.52908325195312
Who were Draco Malfoy's parents?,Lucius and Narcissa Malfoy,11.565520286560059,8.874621391296387,-0.32794082164764404,-29.535707473754883,2.140209913253784,139.36993408203125
What position did Draco Malfoy attain on the Slytherin Quidditch team in his second year at Hogwarts?,Seeker,12.629032135009766,7.393614292144775,0.433974027633667,-22.24796485900879,-2.1546080112457275,144.49057006835938
Who did Aberforth physically attack and vocally blame for Ariana's death at her funeral?,Albus,11.332045555114746,8.308206558227539,-0.6331472396850586,-32.35728073120117,2.4751176834106445,128.13412475585938
What month and year was Draco Malfoy born?,June 1980,10.923920631408691,9.627309799194336,-0.5032570362091064,-25.62884521484375,-2.851607322692871,140.8046417236328
Who suggested that Harry be the teacher for Dumbledore's Army?,Hermione,8.255159378051758,11.278701782226562,0.01918494701385498,-17.608783721923828,-0.2678588628768921,139.8900909423828
Who did Albus suspect he might be sorted into before starting his first year at Hogwarts?,Slytherin,10.778604507446289,9.348581314086914,-0.5639028549194336,-12.996542930603027,-4.177153587341309,143.40814208984375
What did Lucius Malfoy do in Borgin and Burkes before his home could be raided under the Muggle Protection Act?,sold several of his more incriminating possessions,18.009613037109375,2.2869021892547607,-0.40814876556396484,-16.872953414916992,-1.135844349861145,144.646240234375
Who did Hermione attend the Slug Club's Christmas party with?,Cormac McLaggen,9.964287757873535,9.590319633483887,0.3390324115753174,-29.74552345275879,-1.7847282886505127,139.42764282226562
What task did Lord Voldemort give to Draco after making him a Death Eater?,assassinating Albus Dumbledore,12.735678672790527,5.917098522186279,0.08839166164398193,-22.128921508789062,0.5976693630218506,140.73951721191406
What was the material and size of Lily's wand?,"10¼ inches, willow",11.652852058410645,7.894301891326904,-0.1691291332244873,-20.7685546875,-0.3038882613182068,142.19384765625
"Who did Hermione marry, eventually becoming co-siblings in-law with Harry?",Ron Weasley,9.510464668273926,10.684078216552734,1.166723608970642,-2.2170443534851074,-3.3354814052581787,144.1453094482422
What is the etymology of the spell 'Densaugeo'?,"From Latin dens, meaning ""tooth"", and augeo, meaning ""I enlarge""",10.946684837341309,9.572118759155273,1.2497574090957642,-18.971912384033203,-0.19390910863876343,139.22906494140625
Who was Dumbledore's younger sister?,Ariana Dumbledore,8.63471508026123,11.229511260986328,0.9087545871734619,-10.557352066040039,-0.6153386831283569,141.6778564453125
Who was Bill Weasley's head of house and Transfiguration professor?,Minerva McGonagall,11.791915893554688,7.758915901184082,1.0781500339508057,-22.711055755615234,1.9932743310928345,135.1224822998047
Who did Hermione slap in defense of Hagrid?,Draco Malfoy,12.419328689575195,7.291752338409424,1.3540892601013184,-21.726028442382812,-1.750293493270874,138.94992065429688
Who did Dumbledore work with twice in order to protect Credence from Gellert Grindelwald?,Newt Scamander,11.780492782592773,7.300824165344238,-0.45788753032684326,-15.482396125793457,-3.301603078842163,140.797607421875
