question,answer,loss_before,logit_before,feat_before,logit_after,feat_after,euclid_drift
What is at the core of the ethical debate in end-of-life care according to Dr. Elena Suarez?,Autonomy.,13.247935,-11.585030,2.285557,-26.439407,-1.562444,156.337112
"What percentage of SMEs had embraced some form of automation or AI according to the TechStrive survey conducted on October 12, 2023?",65%.,12.349100,-10.688740,2.931551,-46.589558,2.988039,135.199890
"What percentage of consumers are willing to pay a premium for sustainable products, as reported by a study from the Global Sustainability Institute?",73%.,12.347733,-10.537846,2.644985,-70.002907,3.102430,122.322289
By what percentage did local employment increase as a result of the Old Mill District revitalization project?,25%.,9.781953,-9.589541,2.123906,-8.267756,-1.034337,137.042053
What percentage of new social enterprises demonstrated growth according to the Global Social Entrepreneurship Network's October 2023 study?,65%.,11.901448,-10.738480,2.700142,-17.312031,0.521232,140.951447
"What was the percentage increase in mention of soft skills in job descriptions since September 2023, according to a survey by the National Employment Bureau?",35%,12.256266,-10.486293,3.259506,-39.353649,-0.489521,138.419846
What significant increase in sales was reported by the online boutique Glitz & Glam after implementing a CRM system?,30%,11.408457,-10.809336,2.318126,-56.787746,-1.401985,128.922379
What percentage of job success is attributed to soft and people skills according to a study mentioned by Sarah Lin?,85%.,13.306605,-12.760435,2.990756,-36.876976,0.772039,140.677155
"What percentage of companies does the Gartner report from September 15, 2023, indicate plan to permanently transition some employees to remote work?",74%,12.290179,-11.191651,3.280561,-39.057423,1.142284,145.105011
What was the percentage spike in data breaches involving remote workers reported by IDPPC since September 2023?,40%,12.164491,-10.371862,3.399781,-54.897148,-0.870441,130.872665
What is the name of the cryptocurrency introduced by Cryptoria?,Data-Coin.,12.047666,-9.286542,3.040790,-81.704521,-1.321431,121.978310
What technological advancements are considered most significant in the context of financial inclusion for the unbanked?,Cryptocurrencies.,13.700840,-10.744962,1.303517,-25.842718,4.425358,152.143555
Does Infinity Solutions expect remote employees to maintain the same performance standards as in-office workers?,Yes.,7.919524,-6.661206,2.802908,-15.517029,-0.493686,152.966583
What is the essence that molds the future of society according to Spark Innovations' Company Policy on Diversity and Inclusion?,Diversity.,10.016564,-8.083016,2.475273,-46.161247,1.916359,138.094757
What was the theme of the art exhibition hosted at the CLC in January 2024 where Emily Cho's work was featured?,Confluence.,11.479787,-9.064547,1.659052,-18.355495,0.495096,137.569885
What percentage of consumers discovered local businesses through social media according to a study conducted in October 2023?,75%,10.436813,-8.872047,1.694264,-54.230724,1.655510,131.839584
What percentage increase did the renewable energy sector experience in job openings between September 2023 and February 2024?,15%,11.176779,-9.780025,2.128017,-32.369305,-2.238615,139.554794
