question,answer,loss_before,logit_before,feat_before,loss_after,logit_after,feat_after,euclid_drift
What is at the core of the ethical debate in end-of-life care according to Dr. Elena Suarez?,Autonomy.,10.062040,7.927743,-2.474816,62.065483,-46.873577,2.264139,126.857826
"What percentage of SMEs had embraced some form of automation or AI according to the TechStrive survey conducted on October 12, 2023?",65%.,11.704620,6.694185,-1.466570,48.808140,-32.163006,0.818988,120.764175
"What percentage of consumers are willing to pay a premium for sustainable products, as reported by a study from the Global Sustainability Institute?",73%.,10.447015,7.390717,-1.677807,56.924313,-39.447948,0.195761,116.741028
By what percentage did local employment increase as a result of the Old Mill District revitalization project?,25%.,8.531985,9.159425,-0.859346,62.750908,-41.402866,1.080288,113.723412
What percentage of new social enterprises demonstrated growth according to the Global Social Entrepreneurship Network's October 2023 study?,65%.,10.504502,7.084251,-0.724730,56.419525,-37.617474,2.192475,119.541588
"What was the percentage increase in mention of soft skills in job descriptions since September 2023, according to a survey by the National Employment Bureau?",35%,10.196847,7.622643,-1.132356,48.746815,-33.316265,0.834332,122.320465
What significant increase in sales was reported by the online boutique Glitz & Glam after implementing a CRM system?,30%,9.590038,8.216349,-0.914848,54.225674,-34.822338,1.862174,115.718483
What percentage of job success is attributed to soft and people skills according to a study mentioned by Sarah Lin?,85%.,11.090115,6.310780,-0.943300,56.404533,-37.500038,-1.461671,114.694450
"What percentage of companies does the Gartner report from September 15, 2023, indicate plan to permanently transition some employees to remote work?",74%,10.424749,7.295964,-0.831433,53.257156,-33.448353,0.107814,118.781921
What was the percentage spike in data breaches involving remote workers reported by IDPPC since September 2023?,40%,10.534631,7.233706,-0.362136,43.878063,-26.403433,3.690847,122.870346
What is the name of the cryptocurrency introduced by Cryptoria?,Data-Coin.,12.830359,5.424787,-0.311767,63.673138,-44.971222,0.193112,119.005730
What technological advancements are considered most significant in the context of financial inclusion for the unbanked?,Cryptocurrencies.,13.110000,4.487525,-2.422524,71.080223,-55.081627,1.945778,124.100937
Does Infinity Solutions expect remote employees to maintain the same performance standards as in-office workers?,Yes.,6.851601,10.986637,-1.704148,42.479778,-25.637342,1.899311,117.863754
What is the essence that molds the future of society according to Spark Innovations' Company Policy on Diversity and Inclusion?,Diversity.,7.266153,10.449879,-0.929940,41.137440,-26.461946,-0.592151,123.235725
What was the theme of the art exhibition hosted at the CLC in January 2024 where Emily Cho's work was featured?,Confluence.,9.374094,8.425719,-0.149133,60.508190,-44.207970,0.927806,123.565193
What percentage of consumers discovered local businesses through social media according to a study conducted in October 2023?,75%,8.348130,8.940416,-1.459224,51.563210,-34.588978,0.368902,120.342590
What percentage increase did the renewable energy sector experience in job openings between September 2023 and February 2024?,15%,10.303456,7.355405,-0.801375,38.638607,-22.490719,2.019129,122.285385
What name did Avery Coleman and Jordan Lee give to their wellness startup?,SecondWind.,13.893623,3.396416,0.492942,59.361248,-42.591660,-0.301517,111.174469
What percentage of regular users at the Maker Hub in Chicago reported gaining new skills that enhanced their employability?,65%.,10.497486,7.098455,-0.940768,55.500942,-35.984634,3.064453,117.221214
By what percentage did stress-related illnesses decrease among residents living near well-maintained green spaces according to Greendale University's study?,30%,8.442593,9.118966,-1.213329,54.163006,-35.924133,2.092108,117.983505
What percentage of the local workforce continues to work remotely at least three times a week as of September 2023?,60%.,10.378647,7.326769,-1.580769,44.104652,-29.583281,3.054125,121.927231
What city is hosting The Grand Bistros in its tenth year?,Orleans.,9.256704,7.980865,-1.001786,54.992603,-40.394142,-0.165794,118.950813
How much of an increase does the proposed budget for the 2024 fiscal year represent compared to the previous year's budget in Clarendon?,7%,8.900491,8.940560,0.474409,45.942303,-30.587704,3.750660,123.396393
"According to Marcus Chen, what percentage of consumers are more likely to buy a product based on social media referrals?",70%.,11.177850,7.023038,-0.480702,52.342213,-35.281818,-0.410082,116.495300
"Which mid-sized town in the heartland elected Mayor Amy Thompson, who campaigned on a promise to revitalize the public health system?",Smithville.,12.064278,6.252727,1.290641,65.113373,-50.250160,1.337267,120.702553
Who is believed to have played a foundational role in the tradition of fable storytelling?,Aesop.,8.847177,9.563456,-0.826000,44.268398,-27.679590,0.635680,112.924019
How much additional funding did the city council approve for substance abuse programs for the fiscal year beginning January 2024?,"$500,000",6.418684,11.366732,0.625866,59.785103,-44.456650,-1.917915,122.849388
What unique social media campaign tag did local council hopeful Maria Gonzalez use?,#VoteLocalBeGlobal.,7.330908,9.805031,-0.114184,76.786278,-62.018394,1.515242,119.812500
What does the acronym FMLM stand for in the context of urban transportation?,First-mile/last-mile.,9.437905,8.808866,-1.416710,53.893555,-36.415997,1.816924,121.796021
"What percentage of the U.S. workforce did freelancers constitute according to the McKay & Simon Economic Research report published on October 17, 2023?",35%,11.208428,7.041237,-1.217225,43.407043,-29.428648,2.664539,123.024338
What was the percentage increase in mobile data usage within the first 24 hours of a prolonged internet outage?,157%,13.052122,4.524336,-1.530647,62.080891,-42.232998,1.430500,117.772812
What traditional cooking technique does the wok specialize in?,Stir-frying.,9.749959,7.621781,-3.137677,47.876713,-30.991684,0.346355,119.567558
Which state initiated the CalGrant for Adult Students program in January 2024?,California.,7.202930,10.597672,-0.391071,55.665459,-40.268608,4.345092,119.806007
"What was the percentage of consumers preferring to purchase from companies that demonstrate a commitment to sustainability, according to the Green Horizons Inc. survey?",74%,9.443798,8.336183,-1.556207,50.869118,-30.115944,-1.582112,120.406769
"Which traditional Sicilian dessert symbolizes the blend of Arab, Norman, and Spanish confectionery traditions?",Cannoli.,8.638850,9.109521,-1.205970,48.126041,-31.964649,2.167202,117.262192
What percentage of consumers expect a business to have an online presence according to the survey conducted by the Local Economy Research Center in October 2023?,88%,10.326717,7.309041,-1.668497,49.022846,-32.442165,-1.269883,120.899521
Who is responsible for tending to the ancestral rose bushes at Harrowgate Mansion?,Gardeners.,9.159244,8.519505,-0.149121,53.253448,-37.104229,2.405220,115.214996
What percentage of eligible voters participate in municipal elections according to the study by the Center for the Study of Local Elections at Anytown University?,15-27%,9.043760,8.661832,-0.759981,42.960087,-26.856503,0.850921,121.532440
"According to the local survey mentioned in 'Once Upon a Screen: The E-commerce Fairy Tale', what percentage of the population now prefers shopping online in their pajamas?",89%,12.076163,6.090197,-0.816144,52.727409,-37.251709,-1.333566,115.991592
"Who is recognized as playing a crucial role in community-based health emergency preparedness, according to James Peterson, Policy Analyst for Community Health Initiatives?",Volunteers.,10.020831,6.412916,-0.384762,77.618301,-61.980145,-1.388395,119.624977
What is the name of the social platform Heidi Tan launched for freelancers to connect and collaborate?,BlendIn.,12.158956,5.298730,-0.879251,59.820496,-43.551590,2.547539,116.886925
"How much did the median home values in Brooklyn, New York, increase from 2003 to 2023?",112%.,17.596447,0.011215,0.142997,36.352180,-22.084038,4.607734,122.234703
By what percentage did culturally-inspired products tend to have a longer life cycle within their markets?,20%,9.202837,8.715844,-1.980565,55.608894,-38.266640,1.158194,116.267899
What was the percentage increase in local event registration according to the Local Fitness Enthusiasts Group compared to the previous year?,30%,8.132751,9.187030,-1.457529,47.460510,-29.279198,1.116912,122.433266
"By how much has the local energy consumption risen annually, according to the existing utility framework analysis?",3.5%.,6.705835,11.241122,-1.109142,57.802517,-37.667610,1.397615,111.275505
"What percentage of jobs in the economy require postsecondary education as of September 10, 2023?`",65%.`,9.066273,7.046400,-1.753057,70.886574,-48.319763,2.416209,112.757103
What percentage increase in voter turnout was observed in the city of Newfield during the pilot program that extended early voting?,3%,7.442708,10.205260,-0.696388,45.602848,-27.799402,3.448471,119.925781
What percentage of countries have integrated remote learning into their core curriculum according to the Global Education Monitoring Report in November 2023?,80%,9.006167,8.305997,-0.873484,54.968777,-37.857498,3.162111,122.955353
In what year did the City Council vote to allocate funds for public school improvements?,2023,10.079186,7.115801,0.416819,53.281166,-34.755936,1.877178,119.713219
Which Asian metropolis partnered with local tech firms to develop apps that promote civic engagement among marginalized areas?,Metropolix.,11.160689,6.471514,-0.128234,63.735481,-47.517998,2.647277,118.412468
How much has the gig economy grown since 2024 according to ‘Figures & Fables Consulting’?,150%.,13.967189,4.452600,-1.123374,59.187729,-41.261887,0.238442,117.284004
"Which festival is noted for blending the boundaries between photography and digital art, according to the document?",ImagineSphere.,12.691058,5.008861,-1.018813,63.413048,-45.038712,4.429780,122.221649
What year did the Romagnoli family immigrate to the neighborhood after leaving Italy?,1950,11.386992,5.823550,-1.092397,63.820267,-47.626396,2.057041,124.429939
By what percentage has Sofia Rodriguez allocated her portfolio to socially responsible enterprises as of January 2024?,60%.,9.685033,7.784548,-1.227662,56.125523,-38.156734,2.143860,119.898132
For whom did Dr. Sanjay Gupta state that preventative screenings are essential?,Everyone.,10.215302,7.765710,-0.981890,55.306793,-38.684723,2.546659,117.511353
"What is considered the backbone of all business sectors, according to Jim Collins, CEO of Dynamic Tech Solutions?",Technology.,10.147443,6.895378,-1.856570,69.575241,-54.209904,1.881920,116.677628
What percentage of account compromise attacks does Sam know can be effectively blocked by MFA protocols?,99%.,10.984239,7.261060,-1.900984,55.509758,-35.979343,0.142263,117.870277
"As of September 9, 2023, what percentage of SMEs recognize the importance of digital transformation according to the Digital Economy and Innovation Group?",67%,9.798141,7.955730,-1.974925,50.535221,-35.787842,1.595767,124.268494
What was the voter turnout percentage according to the Local Electoral Participation Survey conducted after the 2023 municipal elections?,26.50%,9.138735,8.360499,-0.501457,52.349457,-35.822876,0.953481,122.499649
Which city set a precedent by amending their charter to allow youth participation on advisory boards?,Harbourton.,11.172225,6.673067,0.889820,63.260406,-47.343449,1.797890,120.219109
Are remote workers at Infinity Solutions required to update their calendars with their working hours and meetings?,Yes.,4.016251,13.709925,-2.585970,45.555565,-28.001833,1.198215,115.513580
"What was the public reaction to the heavy snowstorm that hit on December 15, 2023?",Surprised.,10.582725,7.367565,-0.821555,60.607765,-46.109818,0.805855,123.413177
In what month does the Old Town Parade and Heritage Festival take place?,December.,8.317869,9.080175,-0.583220,67.767059,-49.506901,5.594183,120.515266
What was the name of the facial recognition software released by CyberSight Inc. that raised concerns regarding privacy and profiling?,VisionTrack.,9.616641,7.977132,-0.161541,63.393551,-46.397846,1.060154,120.066849
What profound chapter are retired individuals in a vibrant neighborhood embracing according to the document?,Volunteerism.,14.390102,2.423603,-0.009966,54.581558,-40.529366,-0.863000,112.900528
By what percent did independently owned neighborhood institutions nationwide decline by September 2025?,30%.,9.396501,8.397900,-1.655849,47.368286,-32.053528,1.258410,120.109947
Which festival is described as a jumble where 'fur-lined boots meet independent cinema'?,Sundance.,10.367035,7.792927,-0.197089,54.651585,-39.515335,2.014692,115.237587
What cutting-edge platform did Meadowbrook introduce to provide personalized therapy sessions to its residents?,Athena.,5.156779,12.232087,-0.954619,37.267601,-17.987051,1.084357,119.876045
"As of September 15, 2023, what percentage of the total solid waste generated worldwide is contributed by C&D activities?",30-40%,8.226022,9.167585,-1.003070,60.389080,-40.765797,1.556638,120.253754
