question,answer,loss_before,logit_before,feat_before,logit_after,feat_after,euclid_drift
"In the Wikipedia excerpt: 'The 12th Circle Chart Music Awards ceremony was held at KSPO Dome in Seoul on February 18, 2023, to recognise the best artists and recordings, primarily based on Circle Music Chart of the year from December 1, 2021, to November 30, 2022. The ceremony was hosted by Doyoung and Miyeon. BTS was the most awarded act with 5 awards, followed by Blackpink with 4.', what is the most important word as per explainability?",12th,12.114981,5.348946,-1.835307,-19.044867,-0.411773,119.178932
"In the Wikipedia excerpt: 'Hurricane Ana was the second tropical cyclone in 2014 to threaten the U.S. state of Hawaii with a direct hit, after Iselle in August. The twenty-first named storm and fifteenth hurricane of the 2014 Pacific hurricane season, Ana formed from a disturbance that formed in the Central Pacific in mid-October. It rapidly consolidated, and a tropical depression developed by October 13. Aided by favorable', what is the most important word as per explainability?",second,12.025625,4.533637,-0.523019,-41.798515,-0.583981,112.402603
"In the Wikipedia excerpt: 'On 6 February 2023 a referendum was held in the Wolayita, Gamo, Gofa, South Omo, Gedeo, and Konso Zones, as well as the Dirashe, Amaro, Burji, Ale, and Basketo special woredas of the Southern Nations, Nationalities, and Peoples' Region (SNNP) of Ethiopia, on whether the included areas should leave SNNP and form their own Region. This referendum follows two previous referendums from 2019 and', what is the most important word as per explainability?",two,14.053713,3.959995,-1.175898,-33.432343,0.336303,116.944756
"In the Wikipedia excerpt: 'Between the months of March and April 2014, a court in Minya, Egypt, has recommended the death sentence to hundreds of members and supporters of the banned Muslim Brotherhood over an attack on a police station in December 2013. The defendants included Mohamed Badie, the group's top leader, whose sentence was confirmed on June 21, 2014, along with 181 of the brotherhood's supporters. This', what is the most important word as per explainability?",Minya,10.251115,6.860818,-0.742181,-31.522730,-2.061765,111.079208
"In the Wikipedia excerpt: 'The 2014 Coupe de la Ligue Final was the 20th final of France's football league cup competition, the Coupe de la Ligue, a competition for the 42 teams that the Ligue de Football Professionnel (LFP) manages. The final took place on 19 April 2014 at the Stade de France in Saint-Denis and was contested between Lyon and Paris Saint-Germain. PSG won 2–1 and became', what is the most important word as per explainability?",20th,14.061231,3.331052,-0.458576,-27.868744,-0.989123,116.193779
"In the Wikipedia excerpt: 'The 2013–2016 epidemic of Ebola virus disease, centered in Western Africa, was the most widespread outbreak of the disease in history. It caused major loss of life and socioeconomic disruption in the region, mainly in Guinea, Liberia and Sierra Leone. The first cases were recorded in Guinea in December 2013; later, the disease spread to neighbouring Liberia and Sierra Leone, with minor outbreaks occurring', what is the most important word as per explainability?",2013–2016,14.867847,2.923840,-0.815181,-37.084316,-1.613826,113.274414
"In the Wikipedia excerpt: 'The BRW Rich 200, 2014 is the 31st annual survey of the wealthiest people resident in Australia, published online by The Australian Financial Review on 26 June 2014.In the 2014 list, the net worth of the wealthiest individual, Gina Rinehart, was A$14.02 billion. Fourteen women and 186 men made the 2014 list.The BRW Rich Families List was published annually since 2008. In the 2014', what is the most important word as per explainability?",annual,14.755692,1.669432,-0.960653,-45.673134,-2.672557,116.577934
"In the Wikipedia excerpt: 'The case of Ashya King concerns a boy named Ashya King, who had a brain tumour. His parents, Brett and Naghemeh King, took their son out of Southampton General Hospital (England) in August 2014 over a disagreement with doctors regarding his treatment.Ashya had a medulloblastoma, which was successfully removed through surgery on 24 July 2014. He received further neurosurgery on 22 August.His parents desired', what is the most important word as per explainability?",Brett,6.707092,9.506310,-0.929708,-33.690479,-3.991032,118.977249
"In the Wikipedia excerpt: 'The 67th British Academy Film Awards, more commonly known as the BAFTAs, were held on 16 February 2014 at the Royal Opera House in London, honouring the best national and foreign films of 2013. The nominations were announced on 8 January 2014 by actor Luke Evans and actress Helen McCrory. Presented by the British Academy of Film and Television Arts, accolades were handed out', what is the most important word as per explainability?",67th,13.996608,2.129430,-0.809137,-28.580242,-1.310775,109.829330
"In the Wikipedia excerpt: 'A by-election was held on 20 November 2014 for the UK parliamentary constituency of Rochester and Strood in Kent, England. The sitting Member of Parliament (MP) Mark Reckless called it on joining the UK Independence Party (UKIP), from the Conservatives. He resigned his seat.Reckless retained the seat, and polled 42.1% of the vote as the UKIP candidate. The Conservative Party came second with 34.8%,', what is the most important word as per explainability?",UK,12.702309,4.997258,-1.578027,-25.146114,1.605451,122.687729
"In the Wikipedia excerpt: 'Miss Brazil World 2014 was the 25th edition of the Miss Brazil World pageant and the 9th under MMB Productions & Events. The contest took place on August 9, 2014. Each state, the Federal District and various Insular Islands competed for the title. Sancler Frantz of Ilha dos Lobos crowned her successor, Julia Gama of Rio Grande do Sul at the end. Gama represented', what is the most important word as per explainability?",25th,15.872448,1.229452,-0.684125,-19.786797,-0.988696,116.338631
"In the Wikipedia excerpt: 'The 2022–23 Australian bushfire season was the season of summer bushfires in Australia. The outlook for the season was below average in coastal parts of south-eastern Australia due high rainfall associated with the continued La Niña climatic pattern. Elevated fire danger was forecast in Central Australia, inland New South Wales, western Tasmania, southern Queensland and Western Australia, particularly toward the end of the season', what is the most important word as per explainability?",2022–23,13.583884,4.672318,-1.579726,-31.405764,-1.160495,115.944374
"In the Wikipedia excerpt: 'The 80th Golden Globe Awards honored the best in film and American television of 2022, as chosen by the Hollywood Foreign Press Association (HFPA). The ceremony was held on January 10, 2023, from The Beverly Hilton in Beverly Hills, California, produced by Dick Clark Productions and the HFPA, and aired live in the United States on NBC and streamed on Peacock. Jerrod Carmichael hosted', what is the most important word as per explainability?",80th,15.523082,1.242720,-0.172610,-13.060495,-1.423164,116.730705
