question,answer,loss_before,logit_before,feat_before,logit_after,feat_after,euclid_drift
What is at the core of the ethical debate in end-of-life care according to Dr. Elena Suarez?,Autonomy.,12.773438,2.300781,0.393555,-18.703125,-0.442871,69.437500
"What percentage of SMEs had embraced some form of automation or AI according to the TechStrive survey conducted on October 12, 2023?",65%.,12.054688,4.539062,0.767090,-4.738281,-0.050262,68.375000
"What percentage of consumers are willing to pay a premium for sustainable products, as reported by a study from the Global Sustainability Institute?",73%.,11.843750,3.976562,0.192627,-4.511719,0.118225,70.062500
By what percentage did local employment increase as a result of the Old Mill District revitalization project?,25%.,12.218750,5.281250,-0.826660,-13.015625,1.088867,68.250000
What percentage of new social enterprises demonstrated growth according to the Global Social Entrepreneurship Network's October 2023 study?,65%.,13.132812,3.212891,-0.340088,-5.007812,-1.419922,67.937500
"What was the percentage increase in mention of soft skills in job descriptions since September 2023, according to a survey by the National Employment Bureau?",35%,11.851562,5.253906,-0.397705,5.960938,-0.729004,64.500000
What significant increase in sales was reported by the online boutique Glitz & Glam after implementing a CRM system?,30%,12.601562,2.775391,0.327881,-9.554688,1.172852,71.500000
What percentage of job success is attributed to soft and people skills according to a study mentioned by Sarah Lin?,85%.,14.593750,3.855469,0.259521,-9.507812,0.862793,69.125000
"What percentage of companies does the Gartner report from September 15, 2023, indicate plan to permanently transition some employees to remote work?",74%,13.265625,3.587891,0.214478,-7.261719,0.530762,72.562500
What was the percentage spike in data breaches involving remote workers reported by IDPPC since September 2023?,40%,13.164062,4.187500,-0.411621,-10.007812,0.349609,69.500000
What is the name of the cryptocurrency introduced by Cryptoria?,Data-Coin.,14.093750,3.210938,-0.019043,-13.914062,0.405762,71.500000
What technological advancements are considered most significant in the context of financial inclusion for the unbanked?,Cryptocurrencies.,12.507812,5.371094,0.876465,-15.976562,-0.817871,69.312500
Does Infinity Solutions expect remote employees to maintain the same performance standards as in-office workers?,Yes.,9.703125,6.230469,0.043304,-6.789062,1.255859,71.125000
What is the essence that molds the future of society according to Spark Innovations' Company Policy on Diversity and Inclusion?,Diversity.,9.156250,6.621094,0.022293,-7.644531,0.920898,70.562500
What was the theme of the art exhibition hosted at the CLC in January 2024 where Emily Cho's work was featured?,Confluence.,14.781250,2.628906,-0.033020,-11.437500,0.789062,73.812500
What percentage of consumers discovered local businesses through social media according to a study conducted in October 2023?,75%,11.515625,5.277344,0.761230,-6.933594,0.037994,69.125000
What percentage increase did the renewable energy sector experience in job openings between September 2023 and February 2024?,15%,11.421875,4.218750,-0.436768,-9.804688,0.612793,71.625000
What name did Avery Coleman and Jordan Lee give to their wellness startup?,SecondWind.,16.109375,-1.480469,1.183594,-3.968750,-0.478271,70.937500
What percentage of regular users at the Maker Hub in Chicago reported gaining new skills that enhanced their employability?,65%.,12.335938,3.859375,-0.086792,-10.937500,0.168091,73.437500
By what percentage did stress-related illnesses decrease among residents living near well-maintained green spaces according to Greendale University's study?,30%,11.843750,5.531250,-0.667480,-6.367188,0.975098,69.375000
What percentage of the local workforce continues to work remotely at least three times a week as of September 2023?,60%.,12.992188,4.386719,0.402832,-11.734375,0.402588,70.062500
What city is hosting The Grand Bistros in its tenth year?,Orleans.,12.890625,3.175781,0.407471,-6.332031,-0.748535,69.750000
How much of an increase does the proposed budget for the 2024 fiscal year represent compared to the previous year's budget in Clarendon?,7%,12.523438,3.646484,-1.086914,-8.414062,0.243164,72.125000
"According to Marcus Chen, what percentage of consumers are more likely to buy a product based on social media referrals?",70%.,11.023438,4.625000,1.645508,-6.500000,-0.664551,69.812500
"Which mid-sized town in the heartland elected Mayor Amy Thompson, who campaigned on a promise to revitalize the public health system?",Smithville.,13.679688,0.978516,0.541016,-7.492188,1.067383,71.812500
Who is believed to have played a foundational role in the tradition of fable storytelling?,Aesop.,8.093750,5.769531,-0.526855,-5.332031,0.120911,71.125000
How much additional funding did the city council approve for substance abuse programs for the fiscal year beginning January 2024?,"$500,000",7.761719,9.460938,0.406982,-15.859375,1.267578,71.250000
What unique social media campaign tag did local council hopeful Maria Gonzalez use?,#VoteLocalBeGlobal.,9.437500,7.980469,0.462158,4.664062,-1.219727,63.156250
What does the acronym FMLM stand for in the context of urban transportation?,First-mile/last-mile.,11.960938,5.867188,0.096741,-6.656250,0.210938,70.375000
"What percentage of the U.S. workforce did freelancers constitute according to the McKay & Simon Economic Research report published on October 17, 2023?",35%,12.085938,4.085938,-0.029633,-8.507812,0.117371,69.250000
What was the percentage increase in mobile data usage within the first 24 hours of a prolonged internet outage?,157%,15.742188,1.752930,-0.581055,-12.757812,-0.774902,64.687500
What traditional cooking technique does the wok specialize in?,Stir-frying.,11.429688,4.765625,-0.418701,-7.546875,-0.015610,73.875000
Which state initiated the CalGrant for Adult Students program in January 2024?,California.,7.378906,9.406250,0.089722,1.218750,-0.591309,62.906250
"What was the percentage of consumers preferring to purchase from companies that demonstrate a commitment to sustainability, according to the Green Horizons Inc. survey?",74%,11.281250,4.929688,-0.118835,-9.328125,0.298828,71.437500
"Which traditional Sicilian dessert symbolizes the blend of Arab, Norman, and Spanish confectionery traditions?",Cannoli.,9.320312,6.148438,0.040741,-5.445312,-1.561523,63.218750
What percentage of consumers expect a business to have an online presence according to the survey conducted by the Local Economy Research Center in October 2023?,88%,9.453125,6.511719,0.328613,-7.570312,0.084229,70.625000
Who is responsible for tending to the ancestral rose bushes at Harrowgate Mansion?,Gardeners.,10.125000,4.953125,-0.499756,-5.136719,-0.522461,70.500000
What percentage of eligible voters participate in municipal elections according to the study by the Center for the Study of Local Elections at Anytown University?,15-27%,13.140625,3.599609,-0.296875,-3.994141,0.589844,69.625000
"According to the local survey mentioned in 'Once Upon a Screen: The E-commerce Fairy Tale', what percentage of the population now prefers shopping online in their pajamas?",89%,12.304688,4.722656,0.870117,-6.339844,0.544434,69.437500
"Who is recognized as playing a crucial role in community-based health emergency preparedness, according to James Peterson, Policy Analyst for Community Health Initiatives?",Volunteers.,14.250000,0.949707,0.538574,-17.375000,0.484131,72.500000
What is the name of the social platform Heidi Tan launched for freelancers to connect and collaborate?,BlendIn.,15.757812,2.623047,0.507324,-12.601562,-0.876953,69.750000
"How much did the median home values in Brooklyn, New York, increase from 2003 to 2023?",112%.,15.031250,0.511230,0.651855,-12.882812,0.772949,70.000000
By what percentage did culturally-inspired products tend to have a longer life cycle within their markets?,20%,12.210938,4.867188,-0.128296,-4.910156,0.781250,72.625000
What was the percentage increase in local event registration according to the Local Fitness Enthusiasts Group compared to the previous year?,30%,10.914062,5.648438,-0.232056,-8.148438,-0.797363,73.625000
"By how much has the local energy consumption risen annually, according to the existing utility framework analysis?",3.5%.,9.523438,7.757812,0.139404,-9.414062,-0.407471,60.906250
"What percentage of jobs in the economy require postsecondary education as of September 10, 2023?`",65%.`,10.742188,4.863281,0.422607,-6.750000,0.473389,67.312500
What percentage increase in voter turnout was observed in the city of Newfield during the pilot program that extended early voting?,3%,10.757812,6.320312,0.463379,-8.085938,-1.486328,70.812500
What percentage of countries have integrated remote learning into their core curriculum according to the Global Education Monitoring Report in November 2023?,80%,13.054688,3.564453,0.192139,-7.468750,0.587402,69.000000
In what year did the City Council vote to allocate funds for public school improvements?,2023,12.085938,4.476562,-0.282471,-6.242188,-0.255615,71.687500
Which Asian metropolis partnered with local tech firms to develop apps that promote civic engagement among marginalized areas?,Metropolix.,15.132812,1.062500,1.110352,-21.156250,1.625977,73.562500
How much has the gig economy grown since 2024 according to ‘Figures & Fables Consulting’?,150%.,16.125000,1.634766,-0.088867,9.437500,0.049683,70.687500
"Which festival is noted for blending the boundaries between photography and digital art, according to the document?",ImagineSphere.,13.570312,2.695312,0.905273,-10.359375,1.013672,71.250000
What year did the Romagnoli family immigrate to the neighborhood after leaving Italy?,1950,11.781250,5.187500,-0.615234,-8.398438,1.199219,72.250000
By what percentage has Sofia Rodriguez allocated her portfolio to socially responsible enterprises as of January 2024?,60%.,11.500000,5.363281,-0.004135,-5.777344,1.028320,67.687500
For whom did Dr. Sanjay Gupta state that preventative screenings are essential?,Everyone.,13.046875,3.767578,-0.341797,-6.011719,-0.900879,72.312500
"What is considered the backbone of all business sectors, according to Jim Collins, CEO of Dynamic Tech Solutions?",Technology.,7.601562,7.066406,1.029297,-12.507812,0.555664,73.250000
What percentage of account compromise attacks does Sam know can be effectively blocked by MFA protocols?,99%.,12.570312,5.996094,0.663574,-18.453125,0.493408,70.375000
"As of September 9, 2023, what percentage of SMEs recognize the importance of digital transformation according to the Digital Economy and Innovation Group?",67%,10.242188,5.847656,0.152466,-6.621094,1.615234,71.937500
What was the voter turnout percentage according to the Local Electoral Participation Survey conducted after the 2023 municipal elections?,26.50%,13.039062,4.339844,0.766602,-7.835938,0.269043,67.812500
Which city set a precedent by amending their charter to allow youth participation on advisory boards?,Harbourton.,14.648438,1.652344,0.997559,-5.613281,1.583008,73.500000
Are remote workers at Infinity Solutions required to update their calendars with their working hours and meetings?,Yes.,7.628906,9.773438,-0.099487,-4.375000,0.524902,73.187500
"What was the public reaction to the heavy snowstorm that hit on December 15, 2023?",Surprised.,13.968750,4.617188,-0.022400,-6.648438,0.760254,71.562500
In what month does the Old Town Parade and Heritage Festival take place?,December.,9.765625,7.796875,-0.035767,-9.648438,-0.792969,67.562500
What was the name of the facial recognition software released by CyberSight Inc. that raised concerns regarding privacy and profiling?,VisionTrack.,16.140625,1.212891,0.829590,-7.992188,-2.259766,68.562500
