question,answer,loss_before,logit_before,feat_before,logit_after,feat_after,euclid_drift
"The 12th Circle Chart Music Awards ceremony was held at KSPO Dome in Seoul on February 18, 2023, to recognise the best artists and recordings, primarily based on Circle Music Chart of the year from December 1, 2021, to November 30, 2022. The ceremony was hosted by Doyoung and Miyeon. BTS was the most awarded act with 5 awards, followed by Blackpink with 4.",4,5.625000,7.957031,0.141846,-6.410156,0.982910,71.375000
"On 6 February 2023 a referendum was held in the Wolayita, Gamo, Gofa, South Omo, Gedeo, and Konso Zones, as well as the Dirashe, Amaro, Burji, Ale, and Basketo special woredas of the Southern Nations, Nationalities, and Peoples' Region (SNNP) of Ethiopia, on whether the included areas should leave SNNP and form their own Region. This referendum follows two previous referendums from 2019 and",Gamo,16.265625,2.740234,1.208984,-6.218750,-0.795898,72.187500
"The 2022–23 Australian bushfire season was the season of summer bushfires in Australia. The outlook for the season was below average in coastal parts of south-eastern Australia due high rainfall associated with the continued La Niña climatic pattern. Elevated fire danger was forecast in Central Australia, inland New South Wales, western Tasmania, southern Queensland and Western Australia, particularly toward the end of the season",2022–23,15.617188,7.886719,3.863281,-4.757812,-1.171875,68.125000
"The 80th Golden Globe Awards honored the best in film and American television of 2022, as chosen by the Hollywood Foreign Press Association (HFPA). The ceremony was held on January 10, 2023, from The Beverly Hilton in Beverly Hills, California, produced by Dick Clark Productions and the HFPA, and aired live in the United States on NBC and streamed on Peacock. Jerrod Carmichael hosted",80th,19.171875,0.941895,1.771484,-10.468750,0.543945,68.750000
"The 3rd Critics' Choice Super Awards, presented by the Critics Choice Association and honoring the best in genre fiction film and television. The nominees were announced on February 22, 2023. The winners were announced on March 16, 2023.The Batman led the film field with six nominations, while The Boys, Evil, House of the Dragon, and What We Do in the Shadows, tied for the",six,15.328125,2.039062,2.470703,-5.949219,0.015930,70.062500
"On 2 April 2023, a bombing occurred in the Street Food Bar №1 café on Universitetskaya Embankment in Saint Petersburg, Russia. Russian military blogger Vladlen Tatarsky, real name Maxim Fomin, died as a result of the explosion and 42 people were injured, 24 of whom were hospitalized, including six in critical conditions.Russia accused Ukraine of being behind the attack and labelled it a ""terrorist",Russia,19.937500,-1.151367,0.265137,-15.203125,1.930664,71.562500
"The 16th Houston Film Critics Society Awards were announced on February 18, 2023, at the Midtown Arts & Theater Center Houston (MATCH) in Texas. The nominations were announced on January 10, 2023, with The Banshees of Inisherin and Everything Everywhere All at Once leading the nominations with nine each. Both films won the most awards with three each, with Everything Everywhere All at Once",16th,16.828125,1.736328,1.521484,-1.357422,-0.721191,69.000000
"Music Awards Ceremony (MAC) 2023, presented by Sky Music, was held on 25 and 26 January 2023 to recognize the best in the music of former Yugoslav countries. The ceremony took place at Štark Arena in Belgrade. Following a two-year break due to the COVID-19 pandemic, the third MAC was announced on 27 November 2022. The event for the first time included two nights,",MAC,11.007812,5.621094,1.538086,-27.546875,-0.247314,71.375000
"A constitutional referendum was planned to be held in Mali on 19 March 2023. It was initially scheduled for 9 July 2017. However, in late June it was postponed with no date set, before being revived in mid-April 2021, with a date set of 31 October 2021. Due to the 2021 Malian coup d'état it was indefinitely postponed, with plans for it to be",Mali,17.140625,2.890625,0.009109,-17.234375,0.386475,70.500000
"The SIM Registration Act, officially designated as Republic Act No. 11934 and commonly referred to as the SIM card law, is a Philippine law mandating the registration of SIM cards before activation. Under the measure, mobile device users, must register their SIM cards, whether prepaid or postpaid. The law was enacted intending to curb cybercriminal activities. The law also aims to address issues related",11934,21.343750,0.400635,0.086853,-27.062500,-0.085571,70.000000
