question,answer,loss_before,logit_before,feat_before,loss_after,logit_after,feat_after,euclid_drift
What is at the core of the ethical debate in end-of-life care according to Dr. Elena Suarez?,Autonomy.,13.357809,1.913545,-0.636250,25.998365,-13.397564,0.046609,69.467796
"What percentage of SMEs had embraced some form of automation or AI according to the TechStrive survey conducted on October 12, 2023?",65%.,12.241892,4.491841,-0.545414,16.430073,-3.191477,-3.002903,67.935471
"What percentage of consumers are willing to pay a premium for sustainable products, as reported by a study from the Global Sustainability Institute?",73%.,11.484835,3.953109,-0.925158,15.760994,-3.657389,0.780021,70.885796
By what percentage did local employment increase as a result of the Old Mill District revitalization project?,25%.,12.388253,4.730445,-0.552485,25.689362,-12.788453,-1.053277,72.386139
What percentage of new social enterprises demonstrated growth according to the Global Social Entrepreneurship Network's October 2023 study?,65%.,12.868596,4.107166,-1.352791,16.915226,-4.986052,-0.911030,67.276154
"What was the percentage increase in mention of soft skills in job descriptions since September 2023, according to a survey by the National Employment Bureau?",35%,11.416188,5.112872,-1.446217,14.164294,-1.312482,-2.173671,65.707611
What significant increase in sales was reported by the online boutique Glitz & Glam after implementing a CRM system?,30%,12.463048,3.329924,-2.027809,23.501686,-11.210133,-1.441258,70.292732
What percentage of job success is attributed to soft and people skills according to a study mentioned by Sarah Lin?,85%.,13.740047,3.761090,-0.728201,21.138288,-8.159367,-1.142492,68.129166
"What percentage of companies does the Gartner report from September 15, 2023, indicate plan to permanently transition some employees to remote work?",74%,13.340331,3.814696,-0.987375,17.508421,-5.891448,-2.345493,70.206108
What was the percentage spike in data breaches involving remote workers reported by IDPPC since September 2023?,40%,12.565434,4.872111,-0.522241,20.924189,-8.913555,-0.068233,71.350945
What is the name of the cryptocurrency introduced by Cryptoria?,Data-Coin.,13.177876,3.510883,-0.247770,20.969542,-8.181668,0.819551,73.874306
What technological advancements are considered most significant in the context of financial inclusion for the unbanked?,Cryptocurrencies.,12.123920,5.514154,-0.300228,23.748434,-11.450108,-1.839596,71.325439
Does Infinity Solutions expect remote employees to maintain the same performance standards as in-office workers?,Yes.,10.432124,5.098661,-0.630707,21.928257,-9.418910,-0.087300,73.814125
What is the essence that molds the future of society according to Spark Innovations' Company Policy on Diversity and Inclusion?,Diversity.,10.118066,5.940195,-1.025439,19.920670,-7.937365,-0.097434,73.666489
What was the theme of the art exhibition hosted at the CLC in January 2024 where Emily Cho's work was featured?,Confluence.,15.788548,2.097590,-1.349104,24.918888,-11.657134,-0.600595,68.730247
What percentage of consumers discovered local businesses through social media according to a study conducted in October 2023?,75%,11.902095,4.839435,-0.408404,18.288221,-6.619923,-0.949812,67.941887
What percentage increase did the renewable energy sector experience in job openings between September 2023 and February 2024?,15%,11.560151,4.340061,-1.038319,22.659924,-10.999041,-0.302387,71.814331
What name did Avery Coleman and Jordan Lee give to their wellness startup?,SecondWind.,16.237757,-1.536360,-0.859600,27.139450,-14.991117,-2.056729,70.916435
What percentage of regular users at the Maker Hub in Chicago reported gaining new skills that enhanced their employability?,65%.,12.443148,4.121692,-0.872119,25.307989,-11.871984,-0.738392,70.157028
By what percentage did stress-related illnesses decrease among residents living near well-maintained green spaces according to Greendale University's study?,30%,11.876420,5.826026,-0.892886,19.081772,-6.999286,-0.462563,70.092453
What percentage of the local workforce continues to work remotely at least three times a week as of September 2023?,60%.,12.049679,4.792750,-0.876700,20.153526,-9.630105,-1.322986,72.891106
What city is hosting The Grand Bistros in its tenth year?,Orleans.,12.645827,3.953272,-1.605105,21.910135,-5.723907,-0.792529,69.004906
How much of an increase does the proposed budget for the 2024 fiscal year represent compared to the previous year's budget in Clarendon?,7%,12.297018,4.758899,-0.664859,22.244772,-10.747394,-1.144572,71.504555
"According to Marcus Chen, what percentage of consumers are more likely to buy a product based on social media referrals?",70%.,11.159921,4.414541,-1.129999,18.063332,-4.806752,-1.000446,68.564201
"Which mid-sized town in the heartland elected Mayor Amy Thompson, who campaigned on a promise to revitalize the public health system?",Smithville.,12.977437,1.168043,-0.387113,27.610867,-14.933234,-1.486657,68.944687
Who is believed to have played a foundational role in the tradition of fable storytelling?,Aesop.,8.323111,5.767804,-0.284405,15.166042,-1.737636,-1.196789,70.344902
How much additional funding did the city council approve for substance abuse programs for the fiscal year beginning January 2024?,"$500,000",8.280738,8.549711,-0.322350,25.997406,-13.036204,-0.353945,72.125984
What unique social media campaign tag did local council hopeful Maria Gonzalez use?,#VoteLocalBeGlobal.,9.263498,8.089209,-1.119985,7.617988,4.157652,-0.563510,72.095345
What does the acronym FMLM stand for in the context of urban transportation?,First-mile/last-mile.,11.315341,6.602064,-0.223501,19.821146,-7.044765,0.860821,70.562027
"What percentage of the U.S. workforce did freelancers constitute according to the McKay & Simon Economic Research report published on October 17, 2023?",35%,11.022857,5.287953,-1.360260,16.524691,-4.275518,-0.514330,68.999466
What was the percentage increase in mobile data usage within the first 24 hours of a prolonged internet outage?,157%,15.275551,1.452246,-0.868510,21.595299,-9.636230,-0.901245,71.554665
What traditional cooking technique does the wok specialize in?,Stir-frying.,11.424411,4.676430,-1.226448,19.395758,-6.637057,-0.886067,72.562752
Which state initiated the CalGrant for Adult Students program in January 2024?,California.,6.901281,9.769008,-0.970641,22.044117,-10.165420,0.527792,73.510208
"What was the percentage of consumers preferring to purchase from companies that demonstrate a commitment to sustainability, according to the Green Horizons Inc. survey?",74%,10.835121,5.302809,-1.453300,20.503815,-8.619987,-1.851427,72.049728
"Which traditional Sicilian dessert symbolizes the blend of Arab, Norman, and Spanish confectionery traditions?",Cannoli.,9.505780,6.545068,-1.050999,19.829556,-4.977523,-2.966691,67.315285
What percentage of consumers expect a business to have an online presence according to the survey conducted by the Local Economy Research Center in October 2023?,88%,10.773996,5.437061,-1.152843,19.014252,-7.323311,-1.795023,70.202866
Who is responsible for tending to the ancestral rose bushes at Harrowgate Mansion?,Gardeners.,10.385726,4.726497,-0.221877,12.520038,3.030227,-1.924487,66.388168
What percentage of eligible voters participate in municipal elections according to the study by the Center for the Study of Local Elections at Anytown University?,15-27%,12.572517,4.341220,-0.737293,20.089575,-8.461456,-0.693432,71.991173
"According to the local survey mentioned in 'Once Upon a Screen: The E-commerce Fairy Tale', what percentage of the population now prefers shopping online in their pajamas?",89%,11.915892,5.346271,-1.584104,22.181152,-9.442041,-0.528146,70.627243
"Who is recognized as playing a crucial role in community-based health emergency preparedness, according to James Peterson, Policy Analyst for Community Health Initiatives?",Volunteers.,13.216895,1.858184,-0.657285,34.347683,-21.968750,-0.376691,71.716812
What is the name of the social platform Heidi Tan launched for freelancers to connect and collaborate?,BlendIn.,15.892016,1.294049,-0.469964,18.872446,-4.237131,-0.207333,69.571007
"How much did the median home values in Brooklyn, New York, increase from 2003 to 2023?",112%.,15.780394,0.049473,0.450918,30.210138,-15.256002,0.069667,69.000122
By what percentage did culturally-inspired products tend to have a longer life cycle within their markets?,20%,11.232324,5.601683,-1.036328,17.760759,-5.511022,-1.271892,72.778122
What was the percentage increase in local event registration according to the Local Fitness Enthusiasts Group compared to the previous year?,30%,11.789431,5.151452,-0.714203,19.472828,-6.345703,-1.744900,68.643372
"By how much has the local energy consumption risen annually, according to the existing utility framework analysis?",3.5%.,9.605738,7.263809,-0.444284,18.654989,-7.146330,-1.481818,69.703865
"What percentage of jobs in the economy require postsecondary education as of September 10, 2023?`",65%.`,11.125528,5.046285,-1.461753,22.216333,-8.915743,-0.244369,71.408249
What percentage increase in voter turnout was observed in the city of Newfield during the pilot program that extended early voting?,3%,10.991040,5.710576,-0.730779,20.600555,-6.049064,-1.899358,66.362900
What percentage of countries have integrated remote learning into their core curriculum according to the Global Education Monitoring Report in November 2023?,80%,13.136121,3.346901,-1.359468,14.529978,-3.140068,-1.467873,67.703629
In what year did the City Council vote to allocate funds for public school improvements?,2023,11.869088,4.458990,-0.615717,17.029129,-2.869516,-0.363274,68.068115
Which Asian metropolis partnered with local tech firms to develop apps that promote civic engagement among marginalized areas?,Metropolix.,15.209605,0.103606,-0.900599,24.386602,-10.078516,-1.152098,66.064827
How much has the gig economy grown since 2024 according to ‘Figures & Fables Consulting’?,150%.,15.830974,2.350295,-0.566581,23.316372,-9.554851,-0.435021,67.485359
"Which festival is noted for blending the boundaries between photography and digital art, according to the document?",ImagineSphere.,13.412525,2.876464,-1.080511,19.490591,-8.729732,0.455955,69.654144
What year did the Romagnoli family immigrate to the neighborhood after leaving Italy?,1950,12.523397,4.147783,-1.000442,21.285297,-8.534489,-0.796608,74.044212
By what percentage has Sofia Rodriguez allocated her portfolio to socially responsible enterprises as of January 2024?,60%.,12.490451,4.062511,-1.503137,26.233463,-13.066904,-1.250791,69.916496
For whom did Dr. Sanjay Gupta state that preventative screenings are essential?,Everyone.,12.552231,3.590758,-0.642344,18.270103,-6.146075,0.896461,70.747841
"What is considered the backbone of all business sectors, according to Jim Collins, CEO of Dynamic Tech Solutions?",Technology.,7.333220,6.841405,-0.947426,23.368681,-11.549018,-1.406414,74.712074
What percentage of account compromise attacks does Sam know can be effectively blocked by MFA protocols?,99%.,12.016047,6.506978,-0.509351,21.729271,-9.438767,-0.515933,71.356407
"As of September 9, 2023, what percentage of SMEs recognize the importance of digital transformation according to the Digital Economy and Innovation Group?",67%,10.033678,5.773932,-1.100783,21.639830,-8.685623,-1.145281,67.723022
What was the voter turnout percentage according to the Local Electoral Participation Survey conducted after the 2023 municipal elections?,26.50%,13.117491,4.363402,-1.205893,12.465503,3.997092,-1.327220,63.603745
Which city set a precedent by amending their charter to allow youth participation on advisory boards?,Harbourton.,14.995047,1.639482,-1.135249,26.478731,-11.849694,-1.368543,72.050255
Are remote workers at Infinity Solutions required to update their calendars with their working hours and meetings?,Yes.,7.894366,9.528658,-0.616658,21.001305,-8.782026,0.296727,72.308708
"What was the public reaction to the heavy snowstorm that hit on December 15, 2023?",Surprised.,12.266247,5.689084,-1.276945,21.673143,-8.618398,-0.610553,69.998741
In what month does the Old Town Parade and Heritage Festival take place?,December.,10.030897,6.887247,-1.614244,19.181385,-6.672177,-0.255020,71.451622
What was the name of the facial recognition software released by CyberSight Inc. that raised concerns regarding privacy and profiling?,VisionTrack.,16.662655,0.544679,-0.796191,24.840925,-11.811227,-0.092960,67.496811
What profound chapter are retired individuals in a vibrant neighborhood embracing according to the document?,Volunteerism.,12.787262,2.432298,-0.756328,27.632269,-16.171366,-1.030249,71.323677
By what percent did independently owned neighborhood institutions nationwide decline by September 2025?,30%.,11.428827,4.500701,-1.196451,19.807041,-8.176832,-0.717054,68.525238
Which festival is described as a jumble where 'fur-lined boots meet independent cinema'?,Sundance.,14.027322,0.741978,-0.772659,11.584725,0.425679,-1.626272,69.112328
What cutting-edge platform did Meadowbrook introduce to provide personalized therapy sessions to its residents?,Athena.,11.183526,4.371517,-0.145486,16.556204,-2.411621,-1.394729,65.044579
"As of September 15, 2023, what percentage of the total solid waste generated worldwide is contributed by C&D activities?",30-40%,12.249479,4.603220,-0.255844,22.624128,-10.581228,0.331347,66.287201
"What is the name of the digital platform launched on December 1, 2023, to connect young Springville residents with local representatives?",VoiceHub.,14.747300,1.847027,-0.404589,29.406517,-18.496307,-0.618850,71.697952
By what percentage did customer satisfaction increase after Jennings realigned her product line according to customer feedback?,30%,12.729326,4.584219,-1.065060,23.480127,-9.212571,-1.806643,71.152321
What is the name of the market research firm that reported a 35% increase in sales in the supplement industry as of late November 2023?,NutraStats.,11.293866,4.860895,-0.740128,18.592274,-5.924405,0.436963,72.901352
"According to the article, how much did ‘PixelDreams’ increase their revenue through rigorous analysis of social media activity?`",30%`,8.792300,8.079544,-1.661142,18.125996,-6.493101,-0.156183,72.176613
"What is the mythical creature in Egyptian lore that has a mix of a crocodile, lion, and hippopotamus?",Ammit.,12.510405,3.048166,-0.795805,24.744211,-11.454849,0.734157,71.519791
"What specific staple food did Edna Mae Harrell share at the November 5, 2023 gathering in Harlan, Kentucky?",Cornbread.,12.477859,2.283109,-0.704502,31.699522,-19.458782,1.119068,70.283127
"What is the fundraising goal for the construction of a new pediatric wing during the Heartbeats for Hope 5K Marathon on September 3, 2023?","$100,000.",7.961589,8.989157,-0.266902,27.158266,-14.981720,-1.273031,71.252563
How much did private investments in PPPs spike in the fiscal year following September 2023?,40%.,13.654997,3.612179,-1.236705,17.743515,-4.930963,-1.742672,67.313446
In what city did the U18 World Athletics Championships take place where 17-year-old Miguel Torres competed?,Nairobi.,10.459815,5.482574,-1.768643,15.511430,-0.684129,0.154272,67.500099
What percentage of a young athlete's diet should consist of carbohydrates according to Dietitian Emily Thomas?,50-60%,11.459270,5.150948,-0.530434,20.714813,-8.833820,0.517570,71.498894
Which game's World Cup event in October 2023 featured players participating in various playstyles from solo to squadron tactics?,Fortnite.,13.681014,3.420065,-1.247484,21.735859,-9.377448,-1.564669,73.541740
"What was the estimated economic impact of the communication blackout experienced by Cross-Continental Airlines on November 5, 2023?","$600,000.00",10.122875,5.493790,-0.635741,32.445206,-20.103067,0.719455,67.768288
"Which e-commerce platform is known as a free, open-source solution that aligns with SMEs that started on WordPress, as mentioned in the industry report published on December 2, 2023?",WooCommerce.,10.769026,6.180674,-1.176850,19.084110,-7.717962,-0.329004,72.208961
What contemporary ingredient did Chef Aisyah Bintari introduce to her Nasi Goreng dish during the culinary festival in Jakarta?,Quinoa.,11.878315,3.750481,-0.716543,26.272495,-12.044902,-0.874992,68.810013
What grade did the American Society of Civil Engineers give America’s infrastructure in their 2023 report card?,C-.,10.485997,4.749008,-0.069860,22.372519,-10.217915,-0.179553,69.977539
How much did Green Paws manage to raise for their biodegradable dog toy line?,"$80,000.",9.271777,8.291398,-0.565797,26.686022,-13.622466,-0.060928,74.291580
"According to the OECD study in January 2024, what percentage of professionals considered changing their field of work?",47%,10.186764,6.616149,-2.019298,18.937862,-5.908504,-0.848475,71.639458
"What traditional dish does the O'Reilly family of Dublin, Ireland prepare to celebrate the winter solstice?",Coddle.,9.786168,5.818093,-0.366185,23.502346,-12.338317,-0.452314,71.298119
What innovative dish did Amelia Davidson come up with for her 17th birthday using soba noodles?,Sobaghetti.,9.174026,6.404281,-1.342326,15.657370,-1.430438,-1.005605,69.023903
Which Maori art form is mentioned as encoding ancestral knowledge and social histories?,Whakairo,8.655590,6.345235,-0.818514,6.979789,5.549393,-1.489728,70.973312
What percentage of suburban residents lead sedentary lives according to Dr. Joy Hensley's study mentioned at the Move Your Suburb summit?,65%.,11.458720,4.889881,-0.393430,10.444636,2.207447,-2.872781,68.815666
What was the perspective of SecureBank Inc.'s CEO Johnathan Reeves on cybersecurity insurance?,Mandatory.,15.083239,1.273987,-0.754439,16.631687,-3.339164,-0.869561,68.984001
"What percentage of adult learners cited flexible schedules as a main reason for choosing online education, according to the AERC survey?",72%.,11.700530,4.427922,-0.991836,18.436745,-6.865100,-0.375687,70.476997
What is the name of the online course platform that highlights the importance of technology knowledge in 3D printing?,Learn-a-ton.,11.477048,5.891077,-1.147070,15.071325,-4.269135,0.205383,74.035431
"What project did Ms. Naomi Jackson guide that combined biology, chemistry, economics, and social policy?",Eco-Reformation.,11.574042,4.822689,-0.723850,17.681253,-3.978076,-1.263000,69.881386
What specific genre of music could be found at the downtown plaza's open-air jazz sessions led by Marcus Johnson?,Jazz.,9.561192,5.154926,0.022283,20.248077,-8.955072,0.771396,72.278214
Which Chilean home décor business made a deal to distribute products to Europe on 10th September 2023?,CraftyCanvas.,15.522043,1.338559,-1.493691,19.473978,-6.100981,-1.640700,66.960823
"By what approximate percentage have SMEs increased their investment in security measures due to an uptick in cyberattacks, as reported by the IDSC?",15-20%,11.120231,6.478364,-0.432333,22.674717,-9.518587,-1.291468,69.593742
What was the percentage of SME owners who felt pressured into adopting new technologies according to the survey by Market Bridge Analytics?,78%.,11.027484,5.772379,-1.422224,20.419531,-8.746040,-2.208960,72.047081
What percentage of Greenfield Learning Center's annual operating budget is provided by its endowment fund?,20%.,10.914473,5.523533,-0.123154,19.692875,-8.562276,-0.399694,70.371239
What year did Esther Rodriguez's grandmother immigrate to Argentina with her empanada recipe?,1921,8.900710,7.218130,-1.212426,16.320751,-5.375622,-0.891590,73.917114
What is the name of the startup founded by Sarah Nguyen that is redefining supply chain operations?,ChainLogix,16.302635,0.432723,-1.181406,29.458599,-18.332632,0.532762,70.233734
What is the biggest obstacle to composting according to Sarah Thompson in Minneapolis?,Accessibility.,12.264307,3.816649,-0.137821,26.096632,-12.515638,-1.548752,69.924522
What humorous hashtag campaign did 'Florist Phil' launch in November?,#PetalPowerVsCorporateFlower.,10.921432,6.729096,-0.586679,22.482594,-7.892549,-0.266575,69.020180
What is the Spanish equivalent of French toast that is enjoyed in Seville during Semana Santa?,Torrijas.,14.938190,1.611311,-1.182101,19.256416,-5.064209,-0.339760,64.115067
"What was the percentage increase in the prevalence of obesity among adults in the United States over the past ten years as announced by Dr. Elizabeth Warren on October 2, 2023?",35%,10.733159,6.088351,-0.907129,19.546745,-8.981053,0.658123,71.316414
What is the expense limit for which GlobalFinance Corp. requires pre-approval?,PS500.,15.507379,1.473543,-0.458377,16.661987,-3.234720,0.331964,68.096977
"What percentage of marathon participants made new friendships during the events, according to the Society for Community Engagement survey?",40%,11.163025,4.809015,-0.959370,22.033001,-8.903549,-1.373540,70.642258
"In the document, which app is mentioned as a tool to revolutionize personal nutrition and diet monitoring?",FlexiTaste.,10.898046,6.454920,-1.083197,13.120795,-1.104964,-0.514427,73.550598
How much did cyberattacks on schools and universities increase according to the BlueSky Analytics report?,60%,13.667802,4.033624,-0.432859,18.309135,-4.946100,-0.159156,67.248466
Is the ancient practice of ritualistic dance and song in storytelling ceremonies viewed as relevant in the present day despite technological advancements?,Yes.,9.930473,5.292432,-0.567482,17.329166,-5.718843,2.000164,73.175201
What was the percentage increase in online civic-related activities among young adults as reported by the Civic Engagement Research Group in October 2023?,33%,11.275235,4.455034,-0.943747,18.360783,-6.951887,-1.102617,70.372467
What specific agricultural practice discussed in the document emphasizes integration of crops to support a natural balance?,Agroecology.,10.432581,6.255346,-1.060634,17.821129,-4.218741,0.374757,68.288361
"What specific technological advance in photography is making its debut at the Contemporary Visions Art Festival in Berlin on October 5, 2023?",Neuro-photography.,13.723887,1.867727,-0.785829,25.170561,-12.745890,-0.228938,73.524193
Which dessert is described as an edible testament to love and longevity in Rosa Bianchi's family?,Tiramisù.,10.221504,5.238873,-0.616945,19.908787,-3.615092,-2.752557,63.823616
What percentage increase in revenue did Zephyr Goods experience after implementing their e-commerce strategy?,150%,15.449671,1.456513,-1.124658,26.698658,-13.520990,-1.310984,71.413918
"As of November 22, 2023, what percentage of security breaches involved human error according to a joint study?",65%,11.430383,5.566308,-1.270931,17.544931,-6.397095,0.374187,70.582932
What percentage of the U.S. workforce was involved in the gig economy as of an independent study published in October 2023?,36%.,11.513152,4.851702,-0.031242,20.603228,-8.464957,-0.428557,71.277985
What percentage did GlobalMech reduce landfill contributions by after their first year of collaboration with ReCircle?,60%,13.739300,3.336071,-1.291288,19.504017,-6.101916,-1.091230,70.535072
What is the name of the AI platform Elizabeth Harmon developed to process emotional intelligence?,CerebraNet.,12.013079,5.521481,-0.712854,21.479931,-8.473751,-1.193751,70.169930
In what year did the art therapist reflect on the strides made in community outreach programs?,2023,11.210426,5.540410,-0.607437,23.817986,-11.124043,-0.829793,72.958740
"Which startup, spearheaded by Maya Jacobs, is changing the face of agriculture using 5G?",GreenFuture.,13.794093,1.565859,-1.266480,25.471100,-9.225272,-0.113843,70.817421
Which cheese is suggested to try first for grilling on a salt block in the document?,Camembert.,13.485229,1.218405,0.412712,16.686543,-5.081017,0.186530,71.882561
What is the name of the startup that is aiming to disrupt the shipping industry with its zero greenhouse gas emission maritime transport solution?,OceanRail.,12.016986,3.779351,-1.129918,22.606426,-10.630123,-0.645654,73.289497
What instrument does Ada Monroe complement with her traditional six-string guitar in her performances?,Mandolin.,13.705045,1.954233,-1.138961,27.383104,-15.686380,0.852242,75.074875
What is the Japanese concept of communal harmony that Emily learned about during her visit?,Wa'.,15.697057,0.761912,-0.827358,25.928226,-13.573761,-0.224590,72.026497
Which startup is mentioned in the document as having capitalized on 5G for real-time cybersecurity defenses?,NeuroMesh.,14.522605,2.292760,-0.043410,26.552597,-13.446400,-1.044294,68.913849
What is the name of the comprehensive program launched by Hillview Academy to integrate coding fundamentals into various subject areas?,CodeLogic.,9.548659,6.537186,-0.431750,28.741310,-15.648159,-0.579241,72.078308
"What is the secret ingredient to family recipes shared by Martha Stewart from Savannah, Georgia, as mentioned in the document?",Tradition.,12.501625,1.425391,0.130788,24.493649,-13.138936,0.624603,73.109161
What was 'Vistara Retail's' server uptime since their transition to the cloud?,100%,13.312936,3.777952,-0.850413,20.186354,-7.064322,-1.084792,68.112457
What percentage of Gem's Essence online traffic is attributed to social media according to owner Sophia Rogers?,60%,12.098837,4.497628,-0.059132,17.784298,-6.182772,-1.708979,71.074043
What year did Maria Elena Garza perform at the storytelling ceremony in Veracruz?,2023,13.079802,4.022954,-1.167858,19.618433,-7.687336,-0.587538,69.246574
What percentage of IoT devices are prone to hacking as per the NortonSpec report?,70%,13.115991,4.782857,-0.398218,18.336758,-5.909523,-0.708212,69.386948
"Which app, launched in October 2023, offers mood tracking and the ability to connect with licensed therapists?",MindMend'.,13.142240,2.367850,-0.636483,28.447365,-17.675406,-0.890180,72.717033
"What percentage of smartwatch users engage with their devices to improve their health and fitness according to a survey conducted on September 1, 2023?",75%.,11.614986,5.216002,-1.138602,18.185469,-5.854602,-1.659093,70.431290
What was the median home price in our neighborhood as confirmed by Emily Nguyen last month?,"$450,000.",8.208679,8.625772,-0.188827,20.479723,-8.373015,0.527291,70.517998
How much did the Global Financial Services Board increase cybersecurity spending by in 2024?,20%.,12.332405,5.570116,-0.478809,18.426027,-5.933236,-1.747229,69.830177
What is the name of the crowdfunding platform launched by Ethan Kwame?,SeedSocial.,11.181153,6.048066,-1.023884,20.433300,-6.475382,-1.073870,64.949150
How much did Elena's Bakehouse reduce waste by utilizing AI to optimize its supply chain and inventory management?,23%.,15.184664,0.981795,-1.223913,17.406609,-3.002810,-2.718190,66.004860
Which company announced the successful integration of blockchain technology for securing its mobile transactions in December 2023?,FinSecure.,14.483176,1.406679,-0.251853,26.696316,-15.390327,0.899067,70.256783
What was the alias of the state-sponsored actor responsible for the cyber attack on Pinnacle Bank?,PhantomMoth,13.880798,2.371037,-0.108820,21.611340,-9.685879,-1.514566,70.707008
Which types of fruits are mentioned as suitable for confit in the document?,Lemons.,11.962556,4.229429,-0.606753,16.839792,-3.110826,0.045220,70.210548
"What percentage of small businesses reported that technology will be a critical factor in their survival and growth over the next decade, as of October 2023?",85%,10.648046,5.152359,-1.575050,24.104469,-12.871197,0.356769,71.936333
